node	HS	Apop1	Apop2	Apop3	Apop4	EMT1	EMT2	M1	M2
v_AKT1	0	0	0	0	0	0	0	0	0
v_AKT2	0	0	0	0	0	1	1	1	1
v_Apoptosis	0	1	1	1	1	0	0	0	0
v_CCA	0	1	1	1	1	1	1	1	1
v_EMT	0	0	0	0	0	1	1	1	1
v_EMTreg	0	0	0	0	0	1	1	1	1
v_ERK_pthw	0	0	0	0	0	1	1	1	1
v_Ecadh	1	1	1	1	1	0	0	0	0
v_GF	0	0	0	0	0	1	1	1	1
v_Invasion	0	0	0	0	0	0	0	1	1
v_Metastasis	0	0	0	0	0	0	0	1	1
v_Migration	0	0	0	0	0	0	0	1	1
v_Notch_pthw	0	0	0	0	0	0	0	1	1
v_TGFb_pthw	0	0	0	0	0	0	0	1	1
v_WNT_pthw	0	0	0	0	0	0	0	0	0
v_miRNA	0	1	1	1	1	0	0	0	0
v_p53	0	1	0	1	0	0	0	0	0
v_p63_73	0	0	1	0	1	0	0	0	0
v_DNAdamage	0	1	1	1	1	1	0	1	0
v_ECMicroenv	0	0	0	1	1	0	0	1	1
