network_index	model_no	original_mod_jaccard	nonNCF_to_NCF_modi_model_jaccard	att_recovery_score_modi_model
69	0	1.0	1.0	1.0
69	1	1.0	1.0	1.0
69	2	1.0	1.0	1.0
69	3	1.0	1.0	1.0
69	4	1.0	1.0	1.0
69	5	1.0	1.0	1.0
69	6	1.0	1.0	1.0
69	7	1.0	1.0	1.0
69	8	1.0	1.0	1.0
69	9	1.0	1.0	1.0
69	10	1.0	1.0	1.0
69	11	1.0	1.0	1.0
69	12	1.0	1.0	1.0
69	13	1.0	1.0	1.0
69	14	1.0	1.0	1.0
69	15	1.0	1.0	1.0
69	16	1.0	1.0	1.0
69	17	1.0	1.0	1.0
69	18	1.0	1.0	1.0
69	19	1.0	1.0	1.0
69	20	1.0	1.0	1.0
69	21	1.0	1.0	1.0
69	22	1.0	1.0	1.0
69	23	1.0	1.0	1.0
69	24	1.0	1.0	1.0
69	25	1.0	1.0	1.0
69	26	1.0	1.0	1.0
69	27	1.0	1.0	1.0
69	28	1.0	1.0	1.0
69	29	1.0	1.0	1.0
69	30	1.0	1.0	1.0
69	31	1.0	1.0	1.0
69	32	1.0	1.0	1.0
69	33	1.0	1.0	1.0
69	34	1.0	1.0	1.0
69	35	1.0	1.0	1.0
69	36	1.0	1.0	1.0
69	37	1.0	1.0	1.0
69	38	1.0	1.0	1.0
69	39	1.0	1.0	1.0
69	40	1.0	1.0	1.0
69	41	1.0	1.0	1.0
69	42	1.0	1.0	1.0
69	43	1.0	1.0	1.0
69	44	1.0	1.0	1.0
69	45	1.0	1.0	1.0
69	46	1.0	1.0	1.0
69	47	1.0	1.0	1.0
69	48	1.0	1.0	1.0
69	49	1.0	1.0	1.0
69	50	1.0	1.0	1.0
69	51	1.0	1.0	1.0
69	52	1.0	1.0	1.0
69	53	1.0	1.0	1.0
69	54	1.0	1.0	1.0
69	55	1.0	1.0	1.0
69	56	1.0	1.0	1.0
69	57	1.0	1.0	1.0
69	58	1.0	1.0	1.0
69	59	1.0	1.0	1.0
69	60	1.0	1.0	1.0
69	61	1.0	1.0	1.0
69	62	1.0	1.0	1.0
69	63	1.0	1.0	1.0
69	64	1.0	1.0	1.0
69	65	1.0	1.0	1.0
69	66	1.0	1.0	1.0
69	67	1.0	1.0	1.0
69	68	1.0	1.0	1.0
69	69	1.0	1.0	1.0
69	70	1.0	1.0	1.0
69	71	1.0	1.0	1.0
69	72	1.0	1.0	1.0
69	73	1.0	1.0	1.0
69	74	1.0	1.0	1.0
69	75	1.0	1.0	1.0
69	76	1.0	1.0	1.0
69	77	1.0	1.0	1.0
69	78	1.0	1.0	1.0
69	79	1.0	1.0	1.0
69	80	1.0	1.0	1.0
69	81	1.0	1.0	1.0
69	82	1.0	1.0	1.0
69	83	1.0	1.0	1.0
69	84	1.0	1.0	1.0
69	85	1.0	1.0	1.0
69	86	1.0	1.0	1.0
69	87	1.0	1.0	1.0
69	88	1.0	1.0	1.0
69	89	1.0	1.0	1.0
69	90	1.0	1.0	1.0
69	91	1.0	1.0	1.0
69	92	1.0	1.0	1.0
69	93	1.0	1.0	1.0
69	94	1.0	1.0	1.0
69	95	1.0	1.0	1.0
