model_no	func_type	model
0	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 8463802423402561535, 2004811776, 5570901, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
1	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 89408334200831, 2004811776, 859780927, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
2	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 1157443869232599313, 2004811776, 2004842495, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
3	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 93527207859541, 2004811776, 134217727, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
4	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 3535888654001111039, 2004811776, 21887, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
5	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 1229764169240281087, 2004811776, 863450999, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
6	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 1936947059, 2004811776, 863450999, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
7	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 1358976256, 2004811776, 50791183, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
8	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 3689419186719945715, 2004811776, 1433884031, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
9	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 4042326001, 2004811776, 1431787351, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
10	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 823210769, 2004811776, 84215047, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
11	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 5859276918726415701, 2004811776, 17761551, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
12	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 131348689846271, 2004811776, 1476354047, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
13	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 88029649764351, 2004811776, 21887, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
14	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 89061873505621, 2004811776, 30591, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
15	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 1431697397, 2004811776, 524238655, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
16	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 3544386989794014000, 2004811776, 1301, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
17	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 8102240097761492991, 2004811776, 1431655767, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
