from	to	sign
v_PI3K	v_AKT	a
v_CDH1_b1	v_CDH1_b1	a
v_OCT4	v_CDH1_b1	a
v_CDH1_b2	v_CDH1_b1	a
v_KLF4	v_CDH1_b1	a
v_SMAD3	v_CDH1_b2	i
v_OCT4	v_CDH1_b2	a
v_KLF4	v_CDH1_b2	a
v_CDH1_b1	v_CDH1_b2	a
v_OCT4	v_DMRT1	i
v_SOX2	v_DMRT1	i
v_TFAP2C	v_DMRT1	i
v_NANOG	v_ETV5	a
v_OCT4	v_ETV5	a
v_SOX2	v_ETV5	a
v_SFK	v_ETV5	a
v_OCT4	v_EZH2	i
v_SOX2	v_EZH2	i
v_STAT3	v_KLF4	a
v_TFAP2C	v_KLF4	a
v_SOX2	v_LIN28a	a
v_CDH1_b1	v_MET	a
v_ETV5	v_MET	a
v_EZH2	v_NANOG	i
v_KLF4	v_NANOG	a
v_NANOG	v_NANOG	i
v_OCT4SOX2	v_NANOG	a
v_SMAD1_5	v_NANOG	a
v_TBX3	v_NANOG	a
v_OCT4SOX2	v_OCT4	a
v_KLF4	v_OCT4	a
v_OCT4	v_OCT4SOX2	a
v_SOX2	v_OCT4SOX2	a
v_GDNF	v_PI3K	a
v_LIF	v_PI3K	a
v_SMAD1_5_4	v_PRDM14	a
v_STAT3	v_PRDM14	a
v_GDNF	v_SFK	a
v_BMP4	v_SMAD1_5	a
v_SMAD1_5	v_SMAD1_5_4	a
v_TGFB	v_SMAD3	a
v_DMRT1	v_SOX2	i
v_OCT4SOX2	v_SOX2	a
v_PRDM14	v_SOX2	a
v_LIF	v_STAT3	a
v_AKT	v_TBX3	a
v_NANOG	v_TET1	a
v_OCT4	v_TET1	a
v_PRDM14	v_TFAP2C	a
v_TGFB	v_TGFB	a
v_BMP4	v_BMP4	a
v_GDNF	v_GDNF	a
v_LIF	v_LIF	a
