	Unnamed: 0	k	BF	sign	bias	self_loop	self_loop_index	Real_k	Real_sign	real_bias	EF_BF	avg_sen	complexity
0	0	7	00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	iiiiiii	0	Y	0	0	constant	0	0	0.0	0
1	1	7	00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	iiiiiii	0	Y	1	0	constant	0	0	0.0	0
2	2	7	00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	iiiiiii	0	Y	2	0	constant	0	0	0.0	0
3	3	7	00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	iiiiiii	0	Y	3	0	constant	0	0	0.0	0
4	4	7	00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	iiiiiii	0	Y	4	0	constant	0	0	0.0	0
5	5	7	00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	iiiiiii	0	Y	5	0	constant	0	0	0.0	0
6	6	7	00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	iiiiiii	0	Y	6	0	constant	0	0	0.0	0
7	7	7	01000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000	iiiiiia	2	Y	0	6	iiiiia	1	0100000000000000000000000000000000000000000000000000000000000000	0.1875	6
8	8	7	01000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	iiiiiia	2	Y	1	6	iiiiia	1	0100000000000000000000000000000000000000000000000000000000000000	0.1875	6
9	9	7	01000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	iiiiiia	2	Y	2	6	iiiiia	1	0100000000000000000000000000000000000000000000000000000000000000	0.1875	6
10	10	7	01000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	iiiiiia	2	Y	3	6	iiiiia	1	0100000000000000000000000000000000000000000000000000000000000000	0.1875	6
11	11	7	01000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	iiiiiia	2	Y	4	6	iiiiia	1	0100000000000000000000000000000000000000000000000000000000000000	0.1875	6
12	12	7	01010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	iiiiiia	2	Y	5	6	iiiiia	1	0100000000000000000000000000000000000000000000000000000000000000	0.1875	6
13	13	7	01010100010000000100000000000000010000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000	iiiiiia	7	Y	6	7	iiiiiia	7	01010100010000000100000000000000010000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000	0.578125	21
