	BF_as_int	k	avg_sen	bias
0	1	6	0.1875	1
1	9223372036854775807	6	0.1875	63
2	273	6	0.4375	3
3	8610882487532388351	6	0.4375	61
4	261	6	0.4375	3
5	6881500230622117887	6	0.4375	61
6	7	6	0.4375	3
7	2305843009213693951	6	0.4375	61
8	21	6	0.4375	3
9	6341068275337658367	6	0.4375	61
10	19	6	0.4375	3
11	4035225266123964415	6	0.4375	61
12	65541	6	0.4375	3
13	6917388290152726527	6	0.4375	61
14	4295032833	6	0.4375	3
15	9223231297218936831	6	0.4375	61
16	4294967313	6	0.4375	3
17	8646911282403868671	6	0.4375	61
18	4294967553	6	0.4375	3
19	9187343237688328191	6	0.4375	61
20	65539	6	0.4375	3
21	4611545280939032575	6	0.4375	61
22	65793	6	0.4375	3
23	9187202502347456511	6	0.4375	61
24	259	6	0.4375	3
25	4575657221408423935	6	0.4375	61
26	65553	6	0.4375	3
27	8646770547062996991	6	0.4375	61
28	4294967301	6	0.4375	3
29	6917529025493598207	6	0.4375	61
30	4294967299	6	0.4375	3
31	4611686016279904255	6	0.4375	61
32	327941	6	0.625	5
33	6881324308761673727	6	0.625	59
34	1103806595333	6	0.625	5
35	6881500228466245631	6	0.625	59
36	4294971665	6	0.625	5
37	8608630685571219455	6	0.625	59
38	327701	6	0.625	5
39	6340892353477214207	6	0.625	59
40	16843011	6	0.625	5
41	4575515934164254719	6	0.625	59
42	1301	6	0.625	5
43	6296032279063953407	6	0.625	59
44	281479271743491	6	0.625	5
45	4611545278791516159	6	0.625	59
46	4294967311	6	0.625	5
47	1152921502459363327	6	0.625	59
48	21474902021	6	0.625	5
49	6917388287468371967	6	0.625	59
50	4294967347	6	0.625	5
51	3746994887824769023	6	0.625	59
52	1114131	6	0.625	5
53	4035075732542586879	6	0.625	59
54	16843013	6	0.625	5
55	6881358943377948671	6	0.625	59
56	196615	6	0.625	5
57	2305631902981160959	6	0.625	59
58	1103806595345	6	0.625	5
59	8610882485376516095	6	0.625	59
60	1114133	6	0.625	5
61	6340918741756280831	6	0.625	59
62	21474836487	6	0.625	5
63	2305843006529339391	6	0.625	59
64	4295294981	6	0.625	5
65	6917353103633154047	6	0.625	59
66	281479271743745	6	0.625	5
67	9187202500199940095	6	0.625	59
68	12884902147	6	0.625	5
69	4575657218187198463	6	0.625	59
70	1287	6	0.625	5
71	2260807012939988991	6	0.625	59
72	775	6	0.625	5
73	2251799813685247999	6	0.625	59
74	4296081425	6	0.625	5
75	8646761748822491135	6	0.625	59
76	69905	6	0.625	5
77	8608489950230347775	6	0.625	59
78	65621	6	0.625	5
79	6196812349773447167	6	0.625	59
80	4295163907	6	0.625	5
81	4611474910047371263	6	0.625	59
82	196627	6	0.625	5
83	4035014159891431423	6	0.625	59
84	1103806595331	6	0.625	5
85	4575657219252551679	6	0.625	59
86	16843025	6	0.625	5
87	8610741200288219135	6	0.625	59
88	31	6	0.625	5
89	576460752303423487	6	0.625	59
90	307	6	0.625	5
91	3710966092953288703	6	0.625	59
92	787	6	0.625	5
93	3981182070595518463	6	0.625	59
94	65587	6	0.625	5
95	3746854152483897343	6	0.625	59
96	73014444051	6	0.625	5
97	4035225263842263039	6	0.625	59
98	1114385	6	0.625	5
99	8610732953951010815	6	0.625	59
100	4294968581	6	0.625	5
101	6872493029219893247	6	0.625	59
102	12884967427	6	0.625	5
103	4611545277717807103	6	0.625	59
104	73014444305	6	0.625	5
105	8610882485250686975	6	0.625	59
106	271	6	0.625	5
107	1116892707587883007	6	0.625	59
108	21474836741	6	0.625	5
109	6881500227937763327	6	0.625	59
110	66307	6	0.625	5
111	4557502085410586623	6	0.625	59
112	281479271743493	6	0.625	5
113	6917388288005210111	6	0.625	59
114	327687	6	0.625	5
115	2305667087353249791	6	0.625	59
116	4373	6	0.625	5
117	6302787678505009151	6	0.625	59
118	21474836501	6	0.625	5
119	6341068272653303807	6	0.625	59
120	12884901907	6	0.625	5
121	4035225262902738943	6	0.625	59
122	55	6	0.625	5
123	1441151880758558719	6	0.625	59
124	4311810305	6	0.625	5
125	9187201950444158975	6	0.625	59
126	341	6	0.625	5
127	6160924290242838527	6	0.625	59
