	Node_name	k	EF	UF	PMID	BF as int	EUF	ThF	NCF	EThF	ising	bit_based
0	B	1	True	True	21563979	1	True	True	True	True	True	True
1	M	3	True	True	21563979	8	True	True	True	True	False	True
2	C	1	True	True	21563979	2	True	True	True	True	True	False
3	Lm	4	True	True	21563979	7936	True	True	True	True	False	False
4	P	1	True	True	21563979	1	True	True	True	True	True	True
5	A	2	True	True	21563979	1	True	True	True	True	False	False
6	L	3	True	True	21563979	16	True	True	True	True	False	False
7	Rm	3	True	True	21563979	213	True	True	True	True	False	False
8	R	2	True	True	21563979	8	True	True	True	True	False	False
9	Am	2	True	True	21563979	7	True	True	True	True	False	True
10	Fgf8	3	True	True	20862356	16	True	True	True	True	False	False
11	Sp8	2	True	True	20862356	4	True	True	True	True	False	True
12	Emx2	4	True	True	20862356	128	True	True	True	True	False	True
13	Coup_fti	2	True	True	20862356	8	True	True	True	True	False	False
14	Pax6	3	True	True	20862356	64	True	True	True	True	False	True
15	ERK1_2	4	True	True	24970389	32767	True	True	True	True	False	True
16	ERBB3	4	True	True	24970389	8352	True	True	True	True	False	False
17	PDK1	4	True	True	24970389	32767	True	True	True	True	False	True
18	MEK1_2	4	True	True	24970389	32767	True	True	True	True	False	True
19	PKCa	2	True	True	24970389	7	True	True	True	True	False	True
20	PLCg	4	True	True	24970389	32767	True	True	True	True	False	True
21	ERBB1	5	True	True	24970389	1086374080	True	True	True	True	False	False
22	ERBB2	4	True	True	24970389	128	True	True	True	True	False	True
23	AKT	4	True	True	24970389	32767	True	True	True	True	False	True
24	mTOR	2	True	True	24970389	7	True	True	True	True	False	True
25	p70S6K	4	True	True	24970389	32767	True	True	True	True	False	True
26	Ci_rep	6	True	True	23868318	1	True	True	True	True	False	False
27	SuFu	1	True	True	23868318	2	True	True	True	True	True	False
28	Cos	2	True	True	23868318	14	True	True	True	True	False	False
29	Ptc	1	True	True	23868318	2	True	True	True	True	True	False
30	Hh	8	True	True	23868318	1	True	True	True	True	False	False
31	Ci_act	6	True	True	23868318	18446742901183475438	True	True	True	True	False	False
32	Dally	1	True	True	23868318	1	True	True	True	True	True	True
33	Dlp	1	True	True	23868318	1	True	True	True	True	True	True
34	Fu	1	True	True	23868318	1	True	True	True	True	True	True
35	Smo	3	True	True	23868318	14	True	True	True	True	False	True
36	Targets	2	True	True	23868318	2	True	True	True	True	False	True
37	RPS6	2	True	True	24970389	7	True	True	True	True	False	True
38	p70S6K	4	True	True	24970389	2184	True	True	True	True	False	False
39	ERBB2	5	True	True	24970389	536911872	True	True	True	True	False	False
40	BAX	1	True	True	24970389	1	True	True	True	True	True	True
41	CyclinD1	5	True	True	24970389	2147483647	True	True	True	True	False	True
42	ERK1_2	3	True	True	24970389	127	True	True	True	True	False	True
43	cJUN	2	True	True	24970389	2	True	True	True	True	False	True
44	AKT	6	True	True	24970389	3074457345618258602	True	True	True	True	False	False
45	RB	3	True	True	24970389	112	True	True	True	True	False	False
46	CyclinB1	2	True	True	24970389	2	True	True	True	True	False	True
47	p53	4	True	True	24970389	32767	True	True	True	True	False	True
48	ERBB3	5	True	True	24970389	1879109632	True	True	True	True	False	False
49	PTEN	3	True	True	24970389	76	True	True	True	True	False	False
50	ERBB1	6	True	True	24970389	4665941148055945408	True	True	True	True	False	False
51	TSC2	5	True	True	24970389	1879048192	True	True	True	True	False	False
52	GSKa_b	2	True	True	24970389	7	True	True	True	True	False	True
53	PRAS	3	True	True	24970389	112	True	True	True	True	False	False
54	p38	2	True	True	24970389	7	True	True	True	True	False	True
55	Nfkb	1	True	True	24970389	1	True	True	True	True	True	True
56	cRAF	4	True	True	24970389	10922	True	True	True	True	False	False
57	FOXO1_3a	2	True	True	24970389	4	True	True	True	True	False	True
58	PI3K	1	True	True	23134720	1	True	True	True	True	True	True
59	Ras	1	True	True	23134720	1	True	True	True	True	True	True
60	PTEN	1	True	True	23134720	2	True	True	True	True	True	False
61	ROS	2	True	True	23134720	4	True	True	True	True	False	True
62	Mdm2	3	True	True	23134720	76	True	True	True	True	False	False
63	p53	2	True	True	23134720	2	True	True	True	True	False	True
