Network_no	Model_no	func_type	model
0	0	scNCF	[2, 14, 65480, 2, 248, 2, 2, 2, 4209703594, 3768582144, 168, 200]
1	0	scNCF	[4277927936, 32, 2, 2, 8, 65008, 14, 168, 2, 8, 2, 236]
2	0	scNCF	[4043239676, 8, 2, 13, 45875, 8, 57344, 65456, 200, 64499, 44714, 168]
3	0	scNCF	[8, 128, 8, 3229614080, 2, 14, 248, 60074, 4243650800, 2, 2, 8]
4	0	scNCF	[68055763262166912003249899397423763472, 234, 2, 93, 2, 168, 19, 1, 7, 230531523554771731, 32607, 4]
5	0	scNCF	[21847, 127, 1, 8191, 1, 19, 7, 7, 5701887, 117901071, 31, 7]
6	0	scNCF	[224, 2, 18446650250064997034, 14, 236, 2, 234, 200, 7, 3427552332, 2, 213510504734706486867405718188132958208]
7	0	scNCF	[294921809981808364321984158817773936607, 2, 1, 2031679, 1, 65287, 19, 2004320255, 7, 1, 65311, 8754]
8	0	scNCF	[2, 16, 2, 244, 340282366884042047467182869092586278092, 14, 1, 2, 4279172874, 2, 2, 62450]
9	0	scNCF	[868082082646985742, 1, 1, 2155905184, 2, 1595891471, 247, 1, 4283432799, 8960, 1, 24029]
10	0	scNCF	[4277862142, 340282366905092830890424112432104131776, 4, 2, 13, 13, 16449723, 14, 14, 248, 4, 65024]
11	0	scNCF	[1, 54528, 1, 2, 31, 205, 32960, 236, 2, 11, 2, 2]
12	0	scNCF	[8432, 14, 4244438269, 8, 3292808260, 3742306063, 71777012431126768, 2, 1, 191, 8, 3368077512]
13	0	scNCF	[1, 55, 858994495, 7, 1, 43711, 1, 19456, 6148826365234058496, 251662087, 6196766166090716671, 247]
14	0	scNCF	[117901071, 1, 2, 1, 1, 22391, 7, 1, 7, 96752728301567, 3967, 2]
15	0	scNCF	[1, 7, 1, 1, 21847, 1, 2, 1, 65311, 13183, 20016609818878733162265765446170910527, 87]
16	0	scNCF	[11, 7, 11, 19, 21, 1, 2, 223, 7, 787, 1, 79]
17	0	scNCF	[6672101463532783141654570966584721408, 1, 3085, 1, 8, 7, 4109434096, 57584, 2, 1, 252642309, 2]
18	0	scNCF	[1, 1, 127, 7, 1, 89474389, 14, 19, 1412893933634821, 7, 62449, 11]
19	0	scNCF	[2, 253, 7, 14, 822083584, 338958331221703806334025824107325620048, 87, 241, 4181, 59, 1, 14614783]
20	0	scNCF	[234, 14, 2, 8, 2, 2, 60620, 10752, 200, 64760, 168, 220]
21	0	scNCF	[4294901502, 208, 2, 206, 183438655639044821798050856418817409023, 2, 340282366846370776336663098435880881164, 234, 2, 14, 1, 2]
22	0	scNCF	[143, 2, 340282366920938463459393637295474920652, 16, 168, 2, 2, 2, 1, 2, 2, 247]
23	0	scNCF	[8, 2, 3770679296, 8, 2, 2, 14, 43168, 2694881408, 13, 14, 4294966014]
24	0	scNCF	[32, 983054, 1, 4, 2, 6340881354065969152, 2, 12544, 2, 2, 3486515167, 1431635204]
25	0	scNCF	[16711691, 1, 11, 17477, 7, 112, 1431655903, 55, 1, 3871, 88270393494406864711640555776442385, 2]
26	0	scNCF	[65299, 1, 2, 1145849036, 7, 1230345888773387059, 7, 2852323327, 226854911280625642309228566566314617514, 1024, 2, 4]
27	0	scNCF	[1, 2, 127, 1, 1, 1, 2, 1, 19, 1, 2, 2]
28	0	scNCF	[220, 2, 32767, 7, 858993599, 112, 127, 2, 570434080, 11, 20991, 1]
29	0	scNCF	[200, 224, 3983, 128, 43771, 14468034567615334592, 200, 65528, 3435973772, 2, 8, 224]
30	0	scNCF	[127, 1600094207, 15577128283062557036074420944437299, 1, 2, 1, 30591, 1, 7, 1, 87, 13]
31	0	scNCF	[224, 8, 4243651832, 239, 18062507275593624234, 65504, 2, 11174058, 196, 3942623999, 64760, 236]
32	0	scNCF	[28752, 87, 1, 12321759519758610175, 1, 59, 1, 1, 3746774984291203071, 369098751, 3207856127, 21]
33	0	scNCF	[4, 7, 4031, 3435954176, 320281639417203107311033892129267056639, 1, 4, 1, 13, 767, 13889313322349674736, 7]
