Network_no	Model_no	func_type	model
0	0	scNCF	[128, 208, 1, 87, 205, 223, 93, 31, 4, 11, 112, 196]
1	0	scNCF	[138, 19, 208, 59, 171, 47, 244, 251, 168, 254, 254, 69]
2	0	scNCF	[239, 19, 138, 21, 115, 87, 117, 47, 7, 76, 19, 19]
3	0	scNCF	[55, 115, 21, 55, 55, 127, 19, 223, 87, 19, 31, 55]
4	0	scNCF	[248, 191, 81, 171, 79, 205, 236, 236, 191, 143, 213, 179]
5	0	scNCF	[2, 1, 35, 79, 55, 76, 205, 21, 241, 7, 205, 47]
6	0	scNCF	[236, 234, 200, 234, 200, 234, 168, 234, 128, 254, 64, 234]
7	0	scNCF	[4, 174, 253, 196, 35, 112, 50, 14, 87, 224, 14, 31]
8	0	scNCF	[241, 87, 31, 31, 59, 1, 47, 19, 55, 87, 244, 47]
9	0	scNCF	[117, 47, 31, 69, 138, 55, 1, 112, 79, 59, 76, 19]
10	0	scNCF	[247, 248, 205, 69, 31, 79, 8, 81, 47, 242, 42, 79]
11	0	scNCF	[42, 79, 171, 76, 7, 49, 49, 127, 55, 127, 1, 84]
12	0	scNCF	[7, 206, 247, 55, 55, 47, 176, 127, 76, 223, 31, 1]
13	0	scNCF	[224, 140, 79, 241, 42, 168, 112, 162, 112, 241, 87, 4]
14	0	scNCF	[7, 127, 1, 21, 1, 21, 31, 21, 31, 19, 35, 55]
15	0	scNCF	[247, 223, 206, 223, 21, 186, 7, 87, 87, 42, 31, 143]
16	0	scNCF	[31, 253, 87, 7, 35, 176, 115, 11, 31, 55, 76, 7]
17	0	scNCF	[179, 31, 115, 81, 247, 19, 55, 127, 87, 31, 143, 191]
18	0	scNCF	[244, 32, 32, 11, 179, 11, 2, 87, 49, 143, 220, 59]
19	0	scNCF	[87, 55, 21, 7, 31, 1, 127, 7, 7, 87, 87, 31]
20	0	scNCF	[2, 49, 55, 2, 21, 112, 87, 239, 11, 69, 2, 79]
21	0	scNCF	[21, 55, 127, 19, 31, 19, 87, 31, 21, 1, 21, 87]
22	0	scNCF	[84, 248, 248, 168, 16, 248, 128, 200, 234, 248, 168, 179]
23	0	scNCF	[93, 76, 79, 2, 31, 208, 162, 127, 1, 87, 81, 31]
24	0	scNCF	[31, 35, 31, 87, 21, 47, 179, 140, 31, 55, 55, 1]
