network_number	fro	to	sign
1	13	13	i
1	7	4	i
1	4	16	i
1	11	7	i
1	10	15	i
1	15	9	i
1	1	8	i
1	8	9	i
1	4	1	i
1	16	3	i
1	13	2	i
1	3	6	a
1	6	13	i
1	12	15	i
1	7	12	i
1	9	10	a
1	2	10	a
1	15	8	i
1	9	1	i
1	12	3	i
1	5	5	i
1	8	2	i
1	2	12	i
1	14	4	a
1	1	11	a
1	16	5	i
1	3	7	i
1	14	6	i
1	5	11	a
1	6	16	i
1	10	14	i
1	11	14	i
2	11	16	i
2	15	8	a
2	3	10	i
2	13	6	i
2	7	14	i
2	7	5	a
2	4	8	i
2	12	11	a
2	5	4	i
2	15	6	i
2	16	7	a
2	5	15	i
2	2	1	i
2	10	2	i
2	14	12	i
2	9	9	i
2	4	2	i
2	12	5	i
2	9	4	i
2	2	3	a
2	6	1	i
2	14	14	a
2	8	13	i
2	1	10	i
2	10	12	i
2	6	13	i
2	3	9	a
2	1	7	i
2	8	3	i
2	11	11	i
2	16	16	i
2	13	15	i
3	14	8	i
3	7	2	a
3	1	13	a
3	16	6	i
3	6	13	i
3	11	5	a
3	11	7	a
3	9	3	a
3	12	2	a
3	16	10	a
3	15	15	i
3	12	16	a
3	10	7	a
3	3	10	a
3	13	15	a
3	2	11	a
3	4	5	a
3	5	8	i
3	10	14	a
3	8	12	a
3	7	9	a
3	2	1	i
3	5	11	a
3	15	14	a
3	9	16	i
3	14	4	a
3	6	6	a
3	13	4	a
3	3	1	a
3	1	12	a
3	4	9	a
3	8	3	a
4	4	8	a
4	14	5	a
4	3	7	i
4	2	16	i
4	9	8	i
4	16	12	a
4	6	11	i
4	8	1	i
4	14	2	a
4	4	2	i
4	7	14	a
4	9	14	i
4	10	5	a
4	12	6	a
4	12	3	a
4	11	10	a
4	5	6	i
4	1	12	i
4	15	13	i
4	7	4	a
4	11	15	a
4	16	11	i
4	13	1	i
4	15	9	i
4	10	15	i
4	5	10	a
4	6	3	a
4	1	9	a
4	8	4	a
4	2	13	a
4	13	7	a
4	3	16	i
5	7	12	a
5	14	5	a
5	2	9	a
5	6	16	a
5	5	10	i
5	10	8	i
5	9	2	i
5	11	4	a
5	1	14	a
5	8	11	a
5	6	8	i
5	2	3	i
5	12	12	a
5	4	7	a
5	4	1	a
5	8	16	a
5	3	4	a
5	16	7	a
5	11	13	i
5	14	10	a
5	9	3	a
5	12	2	a
5	15	14	i
5	1	13	a
5	3	15	a
5	13	1	a
5	16	11	a
5	15	6	i
5	13	9	a
5	5	5	a
5	7	15	a
5	10	6	i
6	1	10	i
6	12	6	i
6	16	7	a
6	13	4	i
6	13	11	i
6	14	13	i
6	14	15	i
6	15	8	i
6	9	14	a
6	10	13	i
6	15	6	i
6	6	11	i
6	11	12	a
6	3	8	i
6	12	1	i
6	7	3	i
6	2	15	i
6	3	3	i
6	8	16	a
6	16	5	i
6	5	2	i
6	9	16	a
6	4	1	a
6	6	5	i
6	2	14	i
6	10	9	i
6	7	7	i
6	11	9	i
6	4	12	i
6	1	2	i
6	5	4	a
6	8	10	a
7	7	16	a
7	11	13	a
7	5	8	a
7	8	5	a
7	12	14	a
7	1	12	a
7	5	3	a
7	3	15	a
7	4	12	a
7	16	4	a
7	1	4	a
7	15	6	a
7	12	8	a
7	7	9	a
7	13	10	a
7	10	2	a
7	4	16	a
7	14	1	a
7	8	1	a
7	14	2	a
7	13	13	a
7	11	7	a
7	2	14	a
7	16	5	a
7	15	10	a
7	9	9	a
7	6	3	a
7	9	15	a
7	10	11	a
7	6	6	a
7	3	7	a
7	2	11	a
8	12	1	i
8	6	9	i
8	9	3	i
8	1	16	i
8	4	10	a
8	3	12	a
8	9	4	i
8	3	13	i
8	14	11	a
8	8	7	i
8	16	8	a
8	12	14	a
8	15	2	i
8	1	8	a
8	13	6	i
8	5	13	a
8	14	4	a
8	8	6	i
8	15	9	i
8	11	15	a
8	6	14	a
8	7	10	a
8	16	7	a
8	7	16	i
8	4	5	a
8	5	2	a
8	2	5	i
8	11	11	a
8	2	15	i
8	13	12	a
8	10	1	i
8	10	3	i
9	6	2	a
9	9	16	i
9	5	16	a
9	8	8	i
9	4	15	a
9	5	3	a
9	7	14	a
9	10	1	i
9	12	13	i
9	2	8	i
9	3	1	i
9	10	12	i
9	1	5	i
9	15	9	a
9	8	14	i
9	15	5	i
9	7	3	i
9	16	7	i
9	3	4	i
9	9	15	i
9	14	6	i
9	11	11	i
9	16	9	a
9	2	12	i
9	6	6	i
9	1	4	i
9	12	2	i
9	14	10	i
9	4	7	i
9	13	13	a
9	13	11	i
9	11	10	i
10	3	3	i
10	6	8	a
10	14	6	a
10	2	15	a
10	9	11	a
10	15	6	a
10	7	4	a
10	12	2	a
10	11	1	a
10	15	4	a
10	4	5	i
10	13	16	a
10	1	12	a
10	1	13	a
10	4	16	i
10	14	11	a
10	9	8	a
10	10	14	a
10	3	9	a
10	8	7	i
10	16	2	a
10	6	1	i
10	2	10	i
10	12	15	a
10	10	3	a
10	5	12	a
10	7	9	a
10	13	14	a
10	11	13	a
10	16	7	a
10	5	5	a
10	8	10	a
11	11	1	a
11	9	5	a
11	2	5	a
11	6	8	a
11	11	12	a
11	14	16	i
11	10	12	a
11	4	11	i
11	7	1	a
11	10	4	a
11	15	10	a
11	13	10	a
11	3	13	a
11	7	7	a
11	12	4	a
11	3	8	a
11	1	9	i
11	2	16	a
11	12	14	a
11	8	3	a
11	14	2	a
11	8	13	a
11	1	15	a
11	4	6	a
11	5	7	a
11	5	14	a
11	16	2	a
11	6	6	a
11	13	15	a
11	9	11	a
11	15	3	a
11	16	9	a
12	9	5	a
12	5	3	i
12	8	13	i
12	7	1	i
12	4	2	i
12	11	7	i
12	12	12	a
12	13	11	a
12	13	10	i
12	15	10	a
12	2	13	i
12	3	4	i
12	3	8	i
12	14	14	a
12	9	4	i
12	5	15	i
12	8	1	i
12	10	9	a
12	2	11	a
12	14	16	i
12	15	7	a
12	11	14	a
12	6	16	a
12	16	5	a
12	1	15	i
12	12	2	i
12	1	6	a
12	6	12	a
12	10	6	i
12	7	3	a
12	4	9	i
12	16	8	a
13	2	13	i
13	6	5	i
