"network_number"	"model_number"	"attractor_number"	"attractor_length"	"attractor_basin_size"
0	0	1	1	1
0	0	2	1	927
0	0	3	1	1225
0	0	4	1	138
0	0	5	1	333
0	0	6	1	560
0	0	7	1	104
0	0	8	1	408
0	0	9	1	128
0	0	10	1	123
0	0	11	1	93
0	0	12	1	56
1	0	1	1	1
1	0	2	1	4095
2	0	1	1	1
2	0	2	1	2498
2	0	3	1	1084
2	0	4	1	205
2	0	5	1	308
3	0	1	1	1
3	0	2	1	4095
4	0	1	1	17
4	0	2	1	82
4	0	3	1	1452
4	0	4	1	1
4	0	5	1	893
4	0	6	1	83
4	0	7	1	366
4	0	8	1	15
4	0	9	1	52
4	0	10	1	380
4	0	11	1	64
4	0	12	1	24
4	0	13	4	667
5	0	1	1	229
5	0	2	1	78
5	0	3	1	10
5	0	4	1	11
5	0	5	1	7
5	0	6	1	3
5	0	7	1	16
5	0	8	1	24
5	0	9	1	10
5	0	10	1	4
5	0	11	1	9
5	0	12	1	10
5	0	13	1	2
5	0	14	1	1
5	0	15	1	1
5	0	16	1	1
5	0	17	1	2
5	0	18	1	2
5	0	19	1	6
5	0	20	1	1
5	0	21	1	1
5	0	22	1	4
5	0	23	1	2
5	0	24	1	1
5	0	25	1	1
5	0	26	1	2
5	0	27	1	4
5	0	28	1	2
5	0	29	1	4
5	0	30	1	38
5	0	31	1	4
5	0	32	1	4
5	0	33	1	10
5	0	34	1	4
5	0	35	1	2
5	0	36	1	2
6	0	1	1	1
6	0	2	1	1957
6	0	3	1	675
6	0	4	1	1463
7	0	1	1	28
7	0	2	1	1
7	0	3	1	32
7	0	4	1	38
7	0	5	5	413
8	0	1	1	193
8	0	2	1	57
8	0	3	1	20
8	0	4	1	6
8	0	5	1	30
8	0	6	1	10
8	0	7	1	2
8	0	8	1	16
8	0	9	1	4
8	0	10	1	2
8	0	11	1	21
8	0	12	1	4
8	0	13	1	1
8	0	14	1	2
8	0	15	1	5
8	0	16	1	7
8	0	17	1	3
8	0	18	1	1
8	0	19	1	66
8	0	20	1	24
8	0	21	1	6
8	0	22	1	28
8	0	23	1	2
8	0	24	1	2
9	0	1	1	1
9	0	2	1	2212
9	0	3	1	200
9	0	4	1	122
9	0	5	1	1542
9	0	6	1	18
9	0	7	1	1
10	0	1	1	1
10	0	2	1	274
10	0	3	1	543
10	0	4	1	412
10	0	5	1	102
10	0	6	1	184
10	0	7	1	493
10	0	8	1	359
10	0	9	1	298
10	0	10	1	108
10	0	11	1	98
10	0	12	1	104
10	0	13	1	177
10	0	14	1	238
10	0	15	1	140
10	0	16	1	2
10	0	17	1	194
10	0	18	1	17
10	0	19	1	114
10	0	20	1	57
10	0	21	1	102
10	0	22	1	14
10	0	23	1	26
10	0	24	1	32
10	0	25	1	7
11	0	1	1	1
11	0	2	1	2047
11	0	3	1	2048
12	0	1	1	1
12	0	2	1	70
12	0	3	1	1878
12	0	4	1	873
12	0	5	1	931
12	0	6	1	281
12	0	7	1	62
13	0	1	1	10
13	0	2	1	255
13	0	3	1	378
13	0	4	1	1
13	0	5	1	348
13	0	6	1	20
13	0	7	1	11
13	0	8	1	1
14	0	1	1	8
14	0	2	1	1829
14	0	3	1	66
14	0	4	1	52
14	0	5	1	7
14	0	6	1	20
14	0	7	1	2
14	0	8	1	4
14	0	9	1	1
14	0	10	1	34
14	0	11	1	25
15	0	1	1	140
15	0	2	1	8
15	0	3	1	16
15	0	4	1	2
15	0	5	1	2
15	0	6	1	6
15	0	7	1	4
15	0	8	1	2
15	0	9	1	20
15	0	10	1	8
15	0	11	1	4
15	0	12	1	4
15	0	13	1	14
15	0	14	1	6
15	0	15	1	2
15	0	16	1	2
15	0	17	1	8
15	0	18	1	4
15	0	19	1	2
15	0	20	1	2
16	0	1	1	1
16	0	2	1	76
16	0	3	1	475
16	0	4	1	62
16	0	5	1	48
16	0	6	1	70
16	0	7	1	194
16	0	8	1	168
16	0	9	1	93
16	0	10	1	6
16	0	11	1	18
16	0	12	1	239
16	0	13	1	44
16	0	14	1	12
16	0	15	1	36
16	0	16	1	5
16	0	17	1	22
16	0	18	1	21
16	0	19	1	12
16	0	20	1	8
16	0	21	1	6
16	0	22	1	36
16	0	23	4	396
17	0	1	1	1
17	0	2	1	4095
18	0	1	1	1
18	0	2	1	2020
18	0	3	1	2072
18	0	4	1	3
19	0	1	1	1
19	0	2	1	407
19	0	3	1	1339
19	0	4	1	1544
19	0	5	1	246
19	0	6	1	20
19	0	7	1	2
19	0	8	1	33
19	0	9	1	305
19	0	10	1	1
19	0	11	1	3
19	0	12	1	2
19	0	13	1	8
19	0	14	1	13
19	0	15	1	100
19	0	16	1	6
19	0	17	1	48
19	0	18	1	2
19	0	19	1	2
19	0	20	1	9
19	0	21	1	5
20	0	1	1	275
20	0	2	1	32
20	0	3	1	39
20	0	4	1	23
20	0	5	1	4
20	0	6	1	3
20	0	7	1	1
20	0	8	1	3
20	0	9	1	1
20	0	10	1	1
20	0	11	1	2
20	0	12	1	18
20	0	13	1	12
20	0	14	1	12
20	0	15	1	2
20	0	16	1	4
20	0	17	1	16
20	0	18	1	34
20	0	19	1	12
20	0	20	1	2
20	0	21	1	10
20	0	22	1	4
20	0	23	1	2
21	0	1	1	1
21	0	2	1	4095
22	0	1	1	48
22	0	2	1	1
22	0	3	1	47
22	0	4	1	1
22	0	5	1	12
22	0	6	1	16
22	0	7	1	5
22	0	8	1	1
22	0	9	1	7
22	0	10	1	1
22	0	11	1	24
22	0	12	1	8
22	0	13	1	3
22	0	14	1	4
22	0	15	1	6
22	0	16	1	23
22	0	17	1	1
22	0	18	1	15
22	0	19	1	1
22	0	20	1	14
22	0	21	1	2
22	0	22	1	8
22	0	23	1	3
22	0	24	1	2
22	0	25	1	1
22	0	26	1	2
23	0	1	1	1
23	0	2	1	4095
24	0	1	1	23
24	0	2	1	458
24	0	3	1	42
24	0	4	1	640
24	0	5	1	191
24	0	6	1	304
24	0	7	1	15
24	0	8	1	10
24	0	9	1	25
24	0	10	1	171
24	0	11	1	19
24	0	12	1	1
24	0	13	1	7
24	0	14	1	283
24	0	15	1	235
24	0	16	1	161
24	0	17	1	86
24	0	18	1	7
24	0	19	1	14
24	0	20	1	20
24	0	21	1	2
24	0	22	1	18
24	0	23	1	6
24	0	24	1	4
24	0	25	1	6
24	0	26	1	2
24	0	27	1	234
24	0	28	1	478
24	0	29	1	55
24	0	30	1	42
24	0	31	1	23
24	0	32	1	1
24	0	33	1	1
24	0	34	1	30
24	0	35	1	238
24	0	36	1	61
24	0	37	1	3
24	0	38	1	51
24	0	39	1	93
24	0	40	1	3
24	0	41	1	26
24	0	42	1	7
25	0	1	1	1
25	0	2	1	912
25	0	3	1	22
25	0	4	1	2345
25	0	5	1	262
25	0	6	1	76
25	0	7	1	27
25	0	8	1	3
25	0	9	1	286
25	0	10	1	153
25	0	11	1	6
25	0	12	1	3
26	0	1	1	1
26	0	2	1	1181
26	0	3	1	48
26	0	4	1	163
26	0	5	1	154
26	0	6	1	379
26	0	7	1	24
26	0	8	1	52
26	0	9	1	2
26	0	10	1	1
26	0	11	1	13
26	0	12	1	1
26	0	13	1	10
26	0	14	1	1
26	0	15	1	2
26	0	16	1	1
26	0	17	1	1
26	0	18	1	2
26	0	19	1	1
26	0	20	1	8
26	0	21	1	3
27	0	1	1	2
27	0	2	1	284
27	0	3	1	231
27	0	4	1	268
27	0	5	1	8
27	0	6	1	1123
27	0	7	1	232
27	0	8	1	310
27	0	9	1	403
27	0	10	1	271
27	0	11	1	439
27	0	12	1	51
27	0	13	1	78
27	0	14	1	113
27	0	15	1	26
27	0	16	1	16
27	0	17	1	48
27	0	18	1	69
27	0	19	1	12
27	0	20	1	2
27	0	21	1	4
27	0	22	1	36
27	0	23	1	2
27	0	24	1	68
28	0	1	1	13
28	0	2	1	19
28	0	3	1	26
28	0	4	1	3
28	0	5	1	1
28	0	6	1	2
28	0	7	1	6
28	0	8	1	2
28	0	9	1	4
28	0	10	1	16
28	0	11	1	2
28	0	12	1	2
28	0	13	1	5
28	0	14	1	5
28	0	15	1	1
28	0	16	1	1
28	0	17	1	2
28	0	18	1	2
28	0	19	1	16
29	0	1	1	1
29	0	2	1	15
29	0	3	1	212
29	0	4	1	17
29	0	5	1	37
29	0	6	1	181
29	0	7	1	180
29	0	8	1	135
29	0	9	1	56
29	0	10	1	182
29	0	11	1	47
29	0	12	1	57
29	0	13	1	23
29	0	14	1	645
29	0	15	1	69
29	0	16	1	109
