"network_number"	"model_number"	"attractor_number"	"attractor_length"	"attractor_basin_size"
0	0	1	2	4096
1	0	1	2	2019
1	0	2	2	50
1	0	3	2	114
1	0	4	6	1913
2	0	1	4	4096
3	0	1	1	112
3	0	2	1	2512
3	0	3	3	1472
4	0	1	1	2200
4	0	2	1	54
4	0	3	1	1238
4	0	4	1	512
4	0	5	1	92
5	0	1	1	2006
5	0	2	1	1308
5	0	3	3	782
6	0	1	1	4096
7	0	1	1	1952
7	0	2	1	144
7	0	3	1	16
7	0	4	2	1888
7	0	5	2	96
8	0	1	5	4096
9	0	1	1	4
9	0	2	2	2705
9	0	3	4	1387
10	0	1	1	1888
10	0	2	1	2208
11	0	1	1	24
11	0	2	1	14
11	0	3	4	4058
12	0	1	1	772
12	0	2	1	1614
12	0	3	1	2
12	0	4	2	1708
13	0	1	1	217
13	0	2	1	786
13	0	3	1	329
13	0	4	1	213
13	0	5	1	414
13	0	6	1	64
13	0	7	2	434
13	0	8	2	1027
13	0	9	3	452
13	0	10	3	160
14	0	1	4	4096
15	0	1	2	396
15	0	2	2	3700
16	0	1	1	1156
16	0	2	1	2048
16	0	3	2	892
17	0	1	1	8
17	0	2	12	4088
18	0	1	1	4096
19	0	1	1	36
19	0	2	1	2187
19	0	3	1	1580
19	0	4	1	92
19	0	5	1	80
19	0	6	2	121
20	0	1	1	2048
20	0	2	1	1392
20	0	3	1	160
20	0	4	2	496
21	0	1	8	4096
22	0	1	1	348
22	0	2	1	3072
22	0	3	1	676
23	0	1	2	3108
23	0	2	5	988
24	0	1	1	32
24	0	2	2	3160
24	0	3	2	358
24	0	4	2	546
25	0	1	1	1662
25	0	2	1	142
25	0	3	2	104
25	0	4	4	1220
25	0	5	4	968
26	0	1	1	30
26	0	2	1	2166
26	0	3	1	252
26	0	4	1	1211
26	0	5	1	208
26	0	6	1	160
26	0	7	1	5
26	0	8	1	32
26	0	9	1	32
27	0	1	1	640
27	0	2	2	908
27	0	3	2	388
27	0	4	4	2160
28	0	1	1	4018
28	0	2	2	78
29	0	1	2	34
29	0	2	4	4062
30	0	1	2	1426
30	0	2	4	2048
30	0	3	4	622
31	0	1	2	1024
31	0	2	2	1664
31	0	3	2	304
31	0	4	2	304
31	0	5	2	80
31	0	6	2	80
31	0	7	2	640
32	0	1	1	3072
32	0	2	1	538
32	0	3	1	249
32	0	4	1	18
32	0	5	1	24
32	0	6	3	110
32	0	7	3	85
33	0	1	4	2712
33	0	2	4	168
33	0	3	4	1216
34	0	1	1	1280
34	0	2	1	2816
35	0	1	1	3329
35	0	2	4	767
36	0	1	3	910
36	0	2	6	3186
37	0	1	2	2432
37	0	2	2	1664
38	0	1	2	2870
38	0	2	4	1226
39	0	1	2	1674
39	0	2	2	2414
39	0	3	2	8
40	0	1	1	3536
40	0	2	1	112
40	0	3	1	448
41	0	1	1	4096
42	0	1	2	4096
43	0	1	1	4096
44	0	1	2	4096
45	0	1	1	4072
45	0	2	1	24
46	0	1	1	2240
46	0	2	1	320
46	0	3	2	1536
47	0	1	1	3308
47	0	2	1	4
47	0	3	3	628
47	0	4	3	156
