"network_number"	"model_number"	"attractor_number"	"attractor_length"	"attractor_basin_size"
0	0	1	1	1
0	0	2	1	2875
0	0	3	1	856
0	0	4	1	364
1	0	1	1	1
1	0	2	1	139
1	0	3	1	46
1	0	4	1	521
1	0	5	1	70
1	0	6	1	19
1	0	7	1	3
1	0	8	1	76
1	0	9	1	38
1	0	10	1	2
1	0	11	1	44
1	0	12	1	6
1	0	13	1	10
1	0	14	1	307
1	0	15	1	24
1	0	16	1	182
1	0	17	1	1
1	0	18	1	25
1	0	19	1	5
1	0	20	1	67
1	0	21	1	263
1	0	22	1	16
1	0	23	1	86
1	0	24	1	2
1	0	25	1	40
1	0	26	1	32
1	0	27	1	4
1	0	28	1	19
2	0	1	1	1
2	0	2	1	849
2	0	3	1	299
2	0	4	1	98
2	0	5	1	368
2	0	6	1	201
2	0	7	1	975
2	0	8	1	69
2	0	9	1	192
2	0	10	1	34
2	0	11	1	63
2	0	12	1	114
2	0	13	1	169
2	0	14	1	42
2	0	15	1	368
2	0	16	1	82
2	0	17	1	72
2	0	18	1	50
2	0	19	1	13
2	0	20	1	25
2	0	21	1	12
3	0	1	1	1
3	0	2	1	4095
4	0	1	1	1
4	0	2	1	67
4	0	3	1	1
4	0	4	1	71
4	0	5	1	28
4	0	6	1	7
4	0	7	1	83
4	0	8	1	138
4	0	9	1	198
4	0	10	1	198
4	0	11	1	3
4	0	12	1	38
4	0	13	1	2
4	0	14	1	58
4	0	15	1	91
4	0	16	1	26
4	0	17	1	6
4	0	18	1	5
4	0	19	1	1
4	0	20	1	1
4	0	21	1	1
5	0	1	1	1
5	0	2	1	585
5	0	3	1	12
5	0	4	1	158
5	0	5	1	308
5	0	6	1	2
5	0	7	1	22
5	0	8	1	16
5	0	9	1	307
5	0	10	1	153
5	0	11	1	204
5	0	12	1	139
5	0	13	1	86
5	0	14	1	55
5	0	15	1	47
5	0	16	1	40
5	0	17	1	15
5	0	18	1	26
5	0	19	1	1182
5	0	20	1	653
5	0	21	1	5
5	0	22	1	2
5	0	23	1	17
5	0	24	1	3
5	0	25	1	1
5	0	26	1	1
5	0	27	1	18
5	0	28	1	6
5	0	29	1	14
5	0	30	1	15
5	0	31	1	3
6	0	1	1	228
6	0	2	1	12
