"network_number"	"model_number"	"attractor_number"	"attractor_length"	"attractor_basin_size"
0	0	1	2	67
0	0	2	5	820
0	0	3	10	3209
1	0	1	1	2177
1	0	2	1	517
1	0	3	1	797
1	0	4	3	605
2	0	1	1	1207
2	0	2	1	893
2	0	3	1	881
2	0	4	1	2
2	0	5	2	1113
3	0	1	1	4043
3	0	2	1	53
4	0	1	7	4096
5	0	1	10	1161
5	0	2	12	2935
6	0	1	1	84
6	0	2	1	470
6	0	3	1	25
6	0	4	1	2
6	0	5	2	647
6	0	6	2	32
6	0	7	2	10
6	0	8	2	14
6	0	9	2	8
6	0	10	6	2804
7	0	1	2	3674
7	0	2	2	422
8	0	1	1	707
8	0	2	2	2544
8	0	3	2	492
8	0	4	2	343
8	0	5	2	10
9	0	1	1	56
9	0	2	1	33
9	0	3	2	1042
9	0	4	2	2581
9	0	5	5	384
10	0	1	1	113
10	0	2	1	124
10	0	3	1	181
10	0	4	1	248
10	0	5	1	2119
10	0	6	1	40
10	0	7	2	149
10	0	8	2	294
10	0	9	2	475
10	0	10	2	353
11	0	1	1	151
11	0	2	1	217
11	0	3	2	3447
11	0	4	2	281
12	0	1	2	2921
12	0	2	2	1175
13	0	1	1	385
13	0	2	2	3397
13	0	3	2	264
13	0	4	4	50
14	0	1	1	3550
14	0	2	1	22
14	0	3	1	154
14	0	4	1	122
14	0	5	1	16
14	0	6	3	94
14	0	7	3	138
15	0	1	1	3604
15	0	2	2	484
15	0	3	2	8
16	0	1	1	3020
16	0	2	2	1076
17	0	1	1	2886
17	0	2	1	1191
17	0	3	2	19
18	0	1	1	32
18	0	2	2	1246
18	0	3	10	2818
19	0	1	2	3761
19	0	2	2	335
20	0	1	1	43
20	0	2	2	207
20	0	3	4	503
20	0	4	4	2143
20	0	5	4	241
20	0	6	8	959
21	0	1	1	22
21	0	2	1	6
21	0	3	1	2
21	0	4	2	386
21	0	5	3	108
21	0	6	4	3572
22	0	1	2	4096
23	0	1	2	4096
24	0	1	1	292
24	0	2	1	3
24	0	3	2	192
24	0	4	3	424
24	0	5	4	3185
25	0	1	1	4096
26	0	1	1	3823
26	0	2	1	12
26	0	3	1	86
26	0	4	1	4
26	0	5	1	29
26	0	6	2	20
26	0	7	2	38
26	0	8	4	84
27	0	1	11	4096
28	0	1	1	161
28	0	2	1	117
28	0	3	2	2685
28	0	4	2	1133
29	0	1	2	178
29	0	2	5	620
29	0	3	11	3298
30	0	1	1	6
30	0	2	2	366
30	0	3	2	586
30	0	4	2	175
30	0	5	2	163
30	0	6	4	1829
30	0	7	4	381
30	0	8	4	455
30	0	9	4	135
31	0	1	1	262
31	0	2	1	3834
32	0	1	1	10
32	0	2	1	18
32	0	3	1	1843
32	0	4	1	331
32	0	5	1	303
32	0	6	1	1035
32	0	7	1	37
32	0	8	1	15
32	0	9	1	22
32	0	10	3	293
32	0	11	3	189
33	0	1	1	4096
34	0	1	1	46
34	0	2	1	1910
34	0	3	1	34
34	0	4	1	654
34	0	5	1	228
34	0	6	3	200
34	0	7	3	136
34	0	8	3	500
34	0	9	3	388
35	0	1	2	1467
35	0	2	2	382
35	0	3	4	1583
35	0	4	4	664
36	0	1	2	3313
36	0	2	2	244
36	0	3	4	539
37	0	1	2	4096
38	0	1	1	57
38	0	2	1	2116
38	0	3	1	1
38	0	4	1	1598
38	0	5	2	324
39	0	1	2	1212
39	0	2	2	78
39	0	3	6	2806
40	0	1	5	4031
40	0	2	5	65
41	0	1	1	1475
41	0	2	1	307
41	0	3	1	51
41	0	4	2	640
41	0	5	4	1623
42	0	1	1	145
42	0	2	1	192
42	0	3	1	162
42	0	4	1	155
42	0	5	1	2890
42	0	6	1	287
42	0	7	1	31
42	0	8	2	117
42	0	9	2	29
42	0	10	2	60
42	0	11	3	28
43	0	1	2	352
43	0	2	2	57
43	0	3	2	601
43	0	4	2	552
43	0	5	6	1352
43	0	6	6	1182
44	0	1	2	4096
45	0	1	2	524
45	0	2	2	148
45	0	3	7	3424
46	0	1	1	121
46	0	2	2	172
46	0	3	2	982
46	0	4	2	148
46	0	5	4	753
46	0	6	4	1102
46	0	7	4	818
47	0	1	1	4
47	0	2	3	94
47	0	3	4	3998
48	0	1	1	144
48	0	2	1	2397
48	0	3	1	151
48	0	4	1	356
48	0	5	1	61
48	0	6	1	119
48	0	7	1	44
48	0	8	1	24
48	0	9	1	66
48	0	10	1	5
48	0	11	1	30
48	0	12	1	51
48	0	13	1	48
48	0	14	1	54
48	0	15	2	334
48	0	16	2	57
48	0	17	4	155
49	0	1	2	52
49	0	2	4	4044
50	0	1	1	116
50	0	2	1	3980
51	0	1	2	929
51	0	2	2	903
51	0	3	2	774
51	0	4	2	663
51	0	5	2	231
51	0	6	4	596
52	0	1	1	4096
53	0	1	8	576
53	0	2	8	3520
54	0	1	1	14
54	0	2	2	2575
54	0	3	2	813
54	0	4	2	694
55	0	1	2	1262
55	0	2	2	2834
56	0	1	1	1098
56	0	2	1	829
56	0	3	1	468
56	0	4	1	72
56	0	5	2	1441
56	0	6	2	188
57	0	1	1	4034
57	0	2	1	4
57	0	3	2	44
57	0	4	4	14
58	0	1	1	8
58	0	2	2	350
58	0	3	3	3738
59	0	1	2	2258
59	0	2	4	1838
60	0	1	1	4096
61	0	1	1	12
61	0	2	1	52
61	0	3	2	212
61	0	4	10	3820
62	0	1	1	16
62	0	2	1	4080
63	0	1	1	42
63	0	2	1	1560
63	0	3	1	1848
63	0	4	1	54
63	0	5	3	592
64	0	1	2	2886
64	0	2	2	1210
65	0	1	1	1389
65	0	2	1	2
65	0	3	7	2705
66	0	1	1	4096
67	0	1	1	323
67	0	2	5	3773
68	0	1	2	762
68	0	2	2	3334
69	0	1	1	3537
69	0	2	4	559
70	0	1	1	1246
70	0	2	1	29
70	0	3	3	530
70	0	4	3	1753
70	0	5	3	538
71	0	1	1	2789
71	0	2	1	226
71	0	3	3	959
71	0	4	3	122
72	0	1	4	1929
72	0	2	4	2167
73	0	1	5	4096
74	0	1	1	4096
75	0	1	1	11
75	0	2	9	4085
76	0	1	1	4033
76	0	2	1	63
77	0	1	2	727
77	0	2	2	695
77	0	3	2	2674
78	0	1	1	992
78	0	2	2	3104
79	0	1	1	16
79	0	2	2	1267
79	0	3	2	2521
79	0	4	2	112
79	0	5	2	180
80	0	1	1	88
80	0	2	1	2
80	0	3	1	254
80	0	4	1	4
80	0	5	2	454
80	0	6	2	326
80	0	7	2	20
80	0	8	2	19
80	0	9	2	4
80	0	10	2	8
80	0	11	3	2695
80	0	12	3	222
81	0	1	2	73
81	0	2	2	1837
81	0	3	2	1799
81	0	4	4	387
82	0	1	2	4096
83	0	1	4	4096
84	0	1	4	4096
85	0	1	1	31
85	0	2	2	34
85	0	3	3	153
85	0	4	3	151
85	0	5	5	3727
86	0	1	1	48
86	0	2	1	901
86	0	3	1	850
86	0	4	1	2
86	0	5	2	2295
87	0	1	2	274
87	0	2	2	45
87	0	3	2	256
87	0	4	2	47
87	0	5	4	3271
87	0	6	4	203
88	0	1	1	2818
88	0	2	2	1278
89	0	1	2	4096
90	0	1	6	4096
91	0	1	1	874
91	0	2	1	3158
91	0	3	2	64
92	0	1	2	1904
92	0	2	2	1265
92	0	3	2	927
93	0	1	2	160
93	0	2	2	354
93	0	3	2	3157
93	0	4	2	425
94	0	1	2	4040
94	0	2	3	56
95	0	1	1	2365
95	0	2	1	42
95	0	3	2	1039
95	0	4	2	650
96	0	1	1	3841
96	0	2	3	255
97	0	1	1	4096
98	0	1	2	14
98	0	2	4	4082
99	0	1	2	3607
99	0	2	2	168
99	0	3	2	118
99	0	4	4	203
100	0	1	2	104
100	0	2	2	1590
100	0	3	2	1678
100	0	4	2	300
100	0	5	2	412
100	0	6	2	4
100	0	7	2	8
101	0	1	1	452
101	0	2	9	3644
102	0	1	1	2937
102	0	2	2	1159
103	0	1	1	1592
103	0	2	1	2504
104	0	1	1	1668
104	0	2	1	30
104	0	3	2	653
104	0	4	2	1739
104	0	5	2	6
105	0	1	4	2301
105	0	2	4	1795
106	0	1	2	2016
106	0	2	2	766
106	0	3	2	1314
107	0	1	2	4096
108	0	1	1	52
108	0	2	1	48
108	0	3	1	224
108	0	4	1	494
108	0	5	1	224
108	0	6	1	1199
108	0	7	1	40
108	0	8	1	44
108	0	9	1	99
108	0	10	3	789
108	0	11	3	883
109	0	1	7	4096
110	0	1	1	50
110	0	2	1	3195
110	0	3	1	210
110	0	4	2	641
111	0	1	23	4096
112	0	1	7	4096
113	0	1	2	4096
114	0	1	2	2103
114	0	2	2	1806
114	0	3	2	185
114	0	4	2	2
115	0	1	1	4096
116	0	1	2	2318
116	0	2	2	896
116	0	3	2	778
116	0	4	2	96
116	0	5	2	8
117	0	1	1	1302
117	0	2	2	912
117	0	3	3	1882
118	0	1	1	68
118	0	2	1	12
118	0	3	2	1367
118	0	4	2	1018
118	0	5	2	168
118	0	6	8	1361
118	0	7	8	102
119	0	1	1	14
119	0	2	1	4
119	0	3	2	1727
119	0	4	4	1665
119	0	5	4	686
120	0	1	1	1184
120	0	2	1	2649
120	0	3	1	96
120	0	4	1	167
121	0	1	1	53
121	0	2	1	860
121	0	3	2	487
121	0	4	2	1369
121	0	5	2	1098
121	0	6	2	229
122	0	1	1	61
122	0	2	1	232
122	0	3	1	3542
122	0	4	1	164
122	0	5	1	49
122	0	6	1	48
123	0	1	2	275
123	0	2	2	3657
123	0	3	2	14
123	0	4	2	104
123	0	5	2	46
124	0	1	2	1284
124	0	2	2	1217
124	0	3	2	475
124	0	4	2	802
124	0	5	2	318
125	0	1	1	1040
125	0	2	1	1987
125	0	3	1	473
125	0	4	1	98
125	0	5	2	498
126	0	1	1	663
126	0	2	1	18
126	0	3	4	3415
127	0	1	1	966
127	0	2	2	3130
128	0	1	6	1296
128	0	2	6	1424
128	0	3	6	231
128	0	4	11	1145
129	0	1	1	113
129	0	2	1	108
129	0	3	1	24
129	0	4	1	19
129	0	5	2	1612
129	0	6	2	175
129	0	7	2	179
129	0	8	2	1070
129	0	9	2	6
129	0	10	2	31
129	0	11	2	397
129	0	12	2	46
129	0	13	2	15
129	0	14	2	87
129	0	15	2	155
129	0	16	2	59
130	0	1	1	3798
130	0	2	2	298
131	0	1	4	4096
132	0	1	1	42
132	0	2	2	1093
132	0	3	3	1956
132	0	4	3	1005
133	0	1	1	291
133	0	2	1	341
133	0	3	1	239
133	0	4	1	189
133	0	5	1	2062
133	0	6	1	420
133	0	7	1	119
133	0	8	1	85
133	0	9	2	307
133	0	10	2	43
134	0	1	3	149
134	0	2	7	2839
134	0	3	8	260
134	0	4	8	848
135	0	1	2	1809
135	0	2	2	663
135	0	3	8	1624
136	0	1	1	976
136	0	2	4	3120
137	0	1	1	1539
137	0	2	1	566
137	0	3	1	600
137	0	4	2	67
137	0	5	2	384
137	0	6	2	245
137	0	7	4	121
137	0	8	4	367
137	0	9	4	207
138	0	1	1	638
138	0	2	1	124
138	0	3	1	184
138	0	4	1	64
138	0	5	1	24
138	0	6	4	3062
139	0	1	8	4096
140	0	1	1	4004
140	0	2	1	9
140	0	3	1	40
140	0	4	4	43
141	0	1	1	2790
141	0	2	7	1306
142	0	1	1	3928
142	0	2	2	168
143	0	1	2	4027
143	0	2	2	69
144	0	1	2	2826
144	0	2	6	1270
145	0	1	1	1870
145	0	2	1	2210
145	0	3	1	16
146	0	1	2	2410
146	0	2	3	1686
147	0	1	1	2956
147	0	2	1	19
147	0	3	2	250
147	0	4	3	871
148	0	1	1	321
148	0	2	2	1428
148	0	3	5	847
148	0	4	6	1500
149	0	1	2	1240
149	0	2	2	1838
149	0	3	5	1018
150	0	1	1	756
150	0	2	1	522
150	0	3	1	355
150	0	4	1	251
150	0	5	1	248
150	0	6	2	1497
150	0	7	2	467
151	0	1	2	4096
152	0	1	1	3615
152	0	2	1	13
152	0	3	1	38
152	0	4	2	18
152	0	5	3	412
153	0	1	1	742
153	0	2	2	1763
153	0	3	2	268
153	0	4	2	255
153	0	5	2	88
153	0	6	8	980
154	0	1	2	4096
155	0	1	1	6
155	0	2	1	124
155	0	3	1	310
155	0	4	1	2
155	0	5	1	4
155	0	6	1	224
155	0	7	1	32
155	0	8	2	1835
155	0	9	3	929
155	0	10	3	303
155	0	11	3	199
155	0	12	3	128
156	0	1	9	4096
157	0	1	3	1455
157	0	2	3	2641
158	0	1	1	3206
158	0	2	1	271
158	0	3	2	619
159	0	1	1	1
159	0	2	2	272
159	0	3	2	276
159	0	4	2	94
159	0	5	6	172
159	0	6	14	3281
160	0	1	1	2388
160	0	2	1	298
160	0	3	1	4
160	0	4	1	4
160	0	5	2	74
160	0	6	2	110
160	0	7	2	78
160	0	8	2	1140
161	0	1	2	3179
161	0	2	2	917
162	0	1	1	194
162	0	2	1	169
162	0	3	1	2
162	0	4	3	1271
162	0	5	3	414
162	0	6	3	967
162	0	7	3	66
162	0	8	3	340
162	0	9	3	293
162	0	10	3	185
162	0	11	3	52
162	0	12	3	129
162	0	13	3	14
163	0	1	2	62
163	0	2	2	3967
163	0	3	8	67
164	0	1	2	214
164	0	2	4	3882
165	0	1	1	1520
165	0	2	1	576
165	0	3	1	222
165	0	4	1	6
165	0	5	2	1136
165	0	6	3	583
165	0	7	3	53
166	0	1	2	455
166	0	2	2	1567
166	0	3	2	617
166	0	4	2	460
166	0	5	2	79
166	0	6	2	195
166	0	7	2	306
166	0	8	2	406
166	0	9	2	11
167	0	1	1	3026
167	0	2	1	18
167	0	3	1	806
167	0	4	1	7
167	0	5	1	239
168	0	1	9	4096
169	0	1	2	2128
169	0	2	2	325
169	0	3	2	182
169	0	4	2	354
169	0	5	2	937
169	0	6	2	70
169	0	7	2	23
169	0	8	4	77
170	0	1	1	594
170	0	2	1	10
170	0	3	3	2616
170	0	4	4	876
171	0	1	1	982
171	0	2	2	653
171	0	3	2	742
171	0	4	2	549
171	0	5	2	340
171	0	6	2	44
171	0	7	4	563
171	0	8	8	223
172	0	1	2	2006
172	0	2	2	2090
173	0	1	1	288
173	0	2	1	118
173	0	3	2	683
173	0	4	2	3007
174	0	1	1	297
174	0	2	1	3054
174	0	3	1	652
174	0	4	2	93
175	0	1	1	274
175	0	2	2	3822
176	0	1	2	1484
176	0	2	2	2612
177	0	1	1	15
177	0	2	1	4
177	0	3	2	2268
177	0	4	2	184
177	0	5	2	1321
177	0	6	2	90
177	0	7	2	214
178	0	1	1	882
178	0	2	1	237
178	0	3	1	61
178	0	4	1	167
178	0	5	1	69
178	0	6	1	10
178	0	7	1	86
178	0	8	1	200
178	0	9	1	190
178	0	10	1	416
178	0	11	1	334
178	0	12	1	10
178	0	13	1	122
178	0	14	1	10
178	0	15	1	126
178	0	16	1	4
178	0	17	3	308
178	0	18	3	316
178	0	19	3	224
178	0	20	3	319
178	0	21	3	5
179	0	1	4	4096
180	0	1	2	2635
180	0	2	2	398
180	0	3	2	288
180	0	4	2	186
180	0	5	2	334
180	0	6	2	50
180	0	7	2	181
180	0	8	2	24
181	0	1	5	3552
181	0	2	6	544
182	0	1	1	1023
182	0	2	1	708
182	0	3	1	14
182	0	4	2	1399
182	0	5	2	215
182	0	6	2	737
183	0	1	1	792
183	0	2	2	835
