Network_no	Model_no	func_type	derrida_coeff	net_sen	final_hamming	fragility
0	0	IMR	1.8671875	1.8671875	4.416524887084961	4.2537841796875
1	0	IMR	1.8046875	1.8046875	3.0810828018188476	3.0809309768676765
2	0	IMR	1.66015625	1.66015625	2.3131484985351562	2.3131484985351562
3	0	IMR	1.671875	1.671875	3.6764389038085947	0.07891845703125
4	0	IMR	1.7890625	1.7890625	3.4024124145507812	2.90985107421875
5	0	IMR	1.8046875	1.8046875	5.913106384277342	3.675181274414063
6	0	IMR	1.8828125	1.8828125	4.229888916015625	2.4635848999023438
7	0	IMR	1.65625	1.65625	4.557817535400392	0.055087890625000024
8	0	IMR	1.62890625	1.62890625	2.4400253295898438	2.4400253295898438
9	0	IMR	1.828125	1.828125	4.149605064392089	2.1565797042846677
10	0	IMR	2.04296875	2.04296875	3.077423095703125	3.077423095703125
11	0	IMR	1.859375	1.859375	4.292696762084961	0.11976242065429688
12	0	IMR	1.9296875	1.9296875	4.284046173095703	3.832853317260742
13	0	IMR	1.890625	1.890625	3.656993865966797	3.618927001953125
14	0	IMR	1.875	1.875	2.6962509155273438	2.6962509155273438
15	0	IMR	1.859375	1.859375	5.675740051269533	3.8083511352539063
16	0	IMR	1.72265625	1.72265625	4.0951522445678705	3.607099189758301
17	0	IMR	1.82421875	1.82421875	3.568035125732422	2.1403121948242188
18	0	IMR	1.734375	1.734375	3.792642593383789	2.717029571533203
19	0	IMR	1.82421875	1.82421875	2.9939117431640625	2.9932479858398438
20	0	IMR	2.00390625	2.00390625	2.9364013671875	0.0
21	0	IMR	1.80078125	1.80078125	2.8024024963378906	0.24008560180664062
22	0	IMR	1.80078125	1.80078125	5.092638931274416	2.283616905212403
23	0	IMR	1.84765625	1.84765625	6.253679313659668	0.14992061614990237
24	0	IMR	1.859375	1.859375	5.904304428100587	1.5878664016723638
25	0	IMR	1.71484375	1.71484375	2.7761268615722656	0.7848625183105469
26	0	IMR	1.8359375	1.8359375	3.0451921081542976	3.0448583221435555
27	0	IMR	2.0078125	2.0078125	3.6658077239990234	2.602151870727539
28	0	IMR	1.80078125	1.80078125	3.8285903930664062	3.8285903930664062
29	0	IMR	1.8125	1.8125	4.2115020751953125	3.5441646575927734
30	0	IMR	1.91796875	1.91796875	4.532961921691893	4.194355316162108
31	0	IMR	1.8984375	1.8984375	5.902598304748536	2.273841896057129
32	0	IMR	1.8046875	1.8046875	6.0426816177368154	5.291175613403323
33	0	IMR	1.8515625	1.8515625	2.8841476440429688	2.8841476440429688
34	0	IMR	1.78125	1.78125	3.0588645935058594	0.4300804138183594
35	0	IMR	1.90625	1.90625	4.625574684143065	4.035427093505859
36	0	IMR	1.79296875	1.79296875	2.864013671875	0.0
37	0	IMR	1.9375	1.9375	5.117828750610353	2.4875889968872067
38	0	IMR	1.8046875	1.8046875	5.159582748413086	3.101393508911134
39	0	IMR	1.79296875	1.79296875	5.638557434082031	5.635654449462891
40	0	IMR	1.78515625	1.78515625	2.6575498199462886	0.4371817779541016
41	0	IMR	1.8125	1.8125	4.613593406677246	2.7306624603271485
42	0	IMR	2.00390625	2.00390625	5.225543327331543	3.4062304687499996
43	0	IMR	1.6796875	1.6796875	3.6884676742553713	3.6876700973510745
44	0	IMR	1.921875	1.921875	3.234948310852052	3.2348274612426766
45	0	IMR	1.71484375	1.71484375	3.436157875061036	3.353862495422363
46	0	IMR	1.79296875	1.79296875	3.326383590698242	1.1653270721435547
47	0	IMR	2.00390625	2.00390625	6.656979103088379	0.11413089752197274
48	0	IMR	1.890625	1.890625	6.158957405090331	2.180694465637207
49	0	IMR	1.77734375	1.77734375	2.329010009765625	2.329010009765625
50	0	IMR	1.97265625	1.97265625	6.192489547729492	1.1360801696777343
51	0	IMR	2.01171875	2.01171875	4.073159523010253	2.0676511764526357
52	0	IMR	1.9296875	1.9296875	4.008293151855469	4.008293151855469
53	0	IMR	1.73828125	1.73828125	4.061483764648437	4.055166625976562
54	0	IMR	1.87109375	1.87109375	2.751781463623047	2.751728057861328
55	0	IMR	1.921875	1.921875	6.032101440429688	0.0178070068359375
56	0	IMR	1.734375	1.734375	5.345714416503906	4.143369903564454
57	0	IMR	1.88671875	1.88671875	4.51701328277588	3.8109758377075202
58	0	IMR	1.8828125	1.8828125	4.8400337219238265	1.7894461822509766
59	0	IMR	1.7890625	1.7890625	5.293104858398437	1.1429789352416986
60	0	IMR	1.87109375	1.87109375	4.369848251342773	4.368680953979492
