Network_no	Model_no	func_type	derrida_coeff	net_sen	final_hamming	fragility
0	0	scNCF	1.146484375	1.146484375	1.8716894340515136	0.31132434844970713
1	0	scNCF	1.1181640625	1.1181640625	1.6476549148559567	0.04382133483886721
2	0	scNCF	1.138671875	1.138671875	0.8680820465087891	0.7527484893798828
3	0	scNCF	1.115234375	1.115234375	0.8501005554199216	0.005595397949218756
4	0	scNCF	1.1806640625	1.1806640625	1.2102832794189453	0.6012611389160156
5	0	scNCF	1.1904296875	1.1904296875	0.32359115600585936	0.0016633987426757826
6	0	scNCF	1.1845703125	1.1845703125	1.800537109375	1.19219970703125
7	0	scNCF	1.056640625	1.056640625	0.703125	0.0
8	0	scNCF	1.126953125	1.126953125	1.5084228515625	1.5084228515625
9	0	scNCF	1.158203125	1.158203125	2.4249078941345217	1.0940240478515624
10	0	scNCF	1.0576171875	1.0576171875	0.6449699401855469	0.6449699401855469
11	0	scNCF	1.1357421875	1.1357421875	0.564453125	0.0
12	0	scNCF	1.1455078125	1.1455078125	0.1708984375	0.1708984375
13	0	scNCF	1.1494140625	1.1494140625	1.4916105079650879	0.26871843338012696
14	0	scNCF	1.1865234375	1.1865234375	0.9141845703125	0.9141845703125
15	0	scNCF	1.16015625	1.16015625	0.7558660507202148	0.11687755584716797
16	0	scNCF	1.169921875	1.169921875	1.8620615005493164	0.066375732421875
17	0	scNCF	1.123046875	1.123046875	1.729802131652832	1.6306381225585938
18	0	scNCF	1.150390625	1.150390625	0.9026618957519531	0.8299652099609376
19	0	scNCF	1.14453125	1.14453125	1.3455584526062008	0.7069383811950684
20	0	scNCF	1.15234375	1.15234375	2.430299758911133	1.0370597839355469
21	0	scNCF	1.1484375	1.1484375	1.608123779296875	0.0
22	0	scNCF	1.2080078125	1.2080078125	1.0711822509765625	0.0
23	0	scNCF	1.12109375	1.12109375	0.0234832763671875	0.0234832763671875
24	0	scNCF	1.1875	1.1875	2.0257396697998047	1.4039125442504883
25	0	scNCF	1.0888671875	1.0888671875	0.9184112548828125	0.342926025390625
26	0	scNCF	1.0654296875	1.0654296875	0.028533935546875	0.0284271240234375
27	0	scNCF	1.173828125	1.173828125	0.9280061721801758	0.7681818008422852
28	0	scNCF	1.1376953125	1.1376953125	0.0322723388671875	0.0322723388671875
29	0	scNCF	0.98828125	0.98828125	0.0	0.0
30	0	scNCF	1.1025390625	1.1025390625	0.3063926696777344	0.30181121826171875
31	0	scNCF	1.1923828125	1.1923828125	2.040616989135742	0.32946014404296875
32	0	scNCF	1.1572265625	1.1572265625	2.4783636283874513	0.2730196571350098
33	0	scNCF	1.1904296875	1.1904296875	0.7820529937744141	0.7820529937744141
34	0	scNCF	1.0595703125	1.0595703125	1.029828872680664	0.010623664855957038
35	0	scNCF	1.15234375	1.15234375	1.6605195999145508	0.7819719314575195
36	0	scNCF	1.1953125	1.1953125	2.2884521484375	0.0
37	0	scNCF	1.111328125	1.111328125	2.403705978393555	0.6427574157714843
38	0	scNCF	1.2041015625	1.2041015625	1.028310775756836	0.0
39	0	scNCF	1.1279296875	1.1279296875	2.174498157501221	0.016659049987792985
40	0	scNCF	1.15234375	1.15234375	0.312286376953125	0.136505126953125
41	0	scNCF	1.0859375	1.0859375	1.5529624557495125	1.2555812263488768
42	0	scNCF	1.1611328125	1.1611328125	1.0880756759643553	0.6819530487060546
43	0	scNCF	1.14453125	1.14453125	0.849823532104492	0.2864053344726562
44	0	scNCF	1.11328125	1.11328125	1.458542823791504	0.7020034790039062
45	0	scNCF	1.1845703125	1.1845703125	2.115707397460938	0.6126937866210936
46	0	scNCF	1.1630859375	1.1630859375	1.600510597229004	1.018716812133789
47	0	scNCF	1.23046875	1.23046875	1.7573442840576172	0.9058765220642092
48	0	scNCF	1.060546875	1.060546875	1.4028694343566894	0.006624889373779304
49	0	scNCF	1.1689453125	1.1689453125	1.4796090888977051	1.4665145301818847
50	0	scNCF	1.240234375	1.240234375	3.204618835449219	0.0
51	0	scNCF	1.22265625	1.22265625	0.8323631286621094	0.0
52	0	scNCF	1.177734375	1.177734375	0.9541721343994141	0.5113430023193359
53	0	scNCF	1.14453125	1.14453125	1.0016303253173828	0.7826924896240234
54	0	scNCF	1.2255859375	1.2255859375	1.8008460998535156	1.4916038513183594
55	0	scNCF	1.1328125	1.1328125	0.6102523803710938	0.3944091796875
56	0	scNCF	1.1455078125	1.1455078125	0.8834304809570312	0.16967010498046875
57	0	scNCF	1.181640625	1.181640625	0.0	0.0
58	0	scNCF	1.1494140625	1.1494140625	0.0	0.0
59	0	scNCF	1.150390625	1.150390625	0.6988906860351562	0.10703277587890625
60	0	scNCF	1.0966796875	1.0966796875	1.3410823822021483	0.8871458816528324
61	0	scNCF	1.0234375	1.0234375	1.4467048645019538	0.0
62	0	scNCF	1.109375	1.109375	1.0230884552001953	0.12436103820800781
63	0	scNCF	1.2060546875	1.2060546875	0.0068817138671875	0.0068817138671875
64	0	scNCF	1.1953125	1.1953125	1.3196096420288086	0.6402902603149414
65	0	scNCF	1.255859375	1.255859375	1.2185362052917486	1.101317710876465
66	0	scNCF	1.0693359375	1.0693359375	0.529083251953125	0.529083251953125
67	0	scNCF	1.15234375	1.15234375	0.6587448120117188	0.6587448120117188
68	0	scNCF	1.09375	1.09375	0.94696044921875	0.7381591796875
69	0	scNCF	1.1484375	1.1484375	1.8698674392700187	0.6681560707092288
70	0	scNCF	1.162109375	1.162109375	1.848083114624024	0.01400842666625978
71	0	scNCF	1.1611328125	1.1611328125	2.0596379280090336	0.7562428092956544
72	0	scNCF	1.1435546875	1.1435546875	0.85028076171875	0.85028076171875
73	0	scNCF	1.1357421875	1.1357421875	0.0	0.0
74	0	scNCF	1.09765625	1.09765625	0.5106182861328126	0.3242799377441407
75	0	scNCF	1.1328125	1.1328125	0.0	0.0
76	0	scNCF	1.1708984375	1.1708984375	1.4949359893798828	0.7609272003173828
77	0	scNCF	1.1845703125	1.1845703125	0.8054637908935547	0.8054637908935547
78	0	scNCF	1.12890625	1.12890625	1.1982307434082031	1.1982307434082031
79	0	scNCF	1.20703125	1.20703125	1.7812747573852534	1.774908638000488
80	0	scNCF	1.1171875	1.1171875	1.1420459747314453	0.8896465301513672
81	0	scNCF	1.1650390625	1.1650390625	2.8131168174743646	0.3200579452514649
82	0	scNCF	1.1181640625	1.1181640625	0.3458414077758789	0.0
83	0	scNCF	1.1669921875	1.1669921875	0.0	0.0
84	0	scNCF	1.1865234375	1.1865234375	0.889862060546875	0.8276824951171875
85	0	scNCF	1.0947265625	1.0947265625	1.2298870086669922	0.21826934814453125
86	0	scNCF	1.169921875	1.169921875	1.6945762634277344	1.6945762634277344
87	0	scNCF	1.0615234375	1.0615234375	0.83544921875	0.822265625
88	0	scNCF	1.158203125	1.158203125	0.43010711669921875	0.42937469482421875
89	0	scNCF	1.16796875	1.16796875	1.2575975418090821	1.061971855163574
90	0	scNCF	1.189453125	1.189453125	0.9377849578857421	0.5621866226196288
