Network_no	Model_no	func_type	derrida_coeff	net_sen	final_hamming	fragility
0	0	IMR	1.8046875	1.8046875	5.449226379394531	5.449226379394531
1	0	IMR	1.78125	1.78125	3.9091796875	3.9091796875
2	0	IMR	1.8515625	1.8515625	2.9955291748046875	2.9955291748046875
3	0	IMR	1.828125	1.828125	2.8784637451171875	2.8784637451171875
4	0	IMR	1.828125	1.828125	3.2670745849609375	3.2670745849609375
5	0	IMR	1.828125	1.828125	4.186225891113281	4.186225891113281
6	0	IMR	1.7578125	1.7578125	3.764678955078125	3.764678955078125
7	0	IMR	1.8046875	1.8046875	4.55078125	4.55078125
8	0	IMR	1.734375	1.734375	3.3649978637695312	3.3649978637695312
9	0	IMR	1.7578125	1.7578125	4.561576843261719	4.561576843261719
10	0	IMR	1.78125	1.78125	5.2608184814453125	5.2608184814453125
11	0	IMR	1.78125	1.78125	3.0815963745117188	3.0815963745117188
12	0	IMR	1.734375	1.734375	4.423271179199219	4.423271179199219
13	0	IMR	1.78125	1.78125	4.630008544921875	4.591716346740722
14	0	IMR	1.734375	1.734375	3.1085586547851562	3.1085586547851562
15	0	IMR	1.78125	1.78125	3.2018661499023438	3.2018661499023438
16	0	IMR	1.828125	1.828125	4.8181610107421875	4.8181610107421875
17	0	IMR	1.828125	1.828125	5.117614631652833	4.845421218872071
18	0	IMR	1.78125	1.78125	2.8623733520507812	2.8623733520507812
19	0	IMR	1.78125	1.78125	4.0093231201171875	4.0093231201171875
20	0	IMR	1.7109375	1.7109375	3.124359130859375	3.124359130859375
21	0	IMR	1.734375	1.734375	2.9176483154296875	2.9176483154296875
22	0	IMR	1.78125	1.78125	3.62158203125	3.62158203125
23	0	IMR	1.7109375	1.7109375	3.917694091796875	3.917694091796875
24	0	IMR	1.7578125	1.7578125	3.7826995849609375	3.7826995849609375
25	0	IMR	1.78125	1.78125	3.2499771118164062	3.2499771118164062
26	0	IMR	1.734375	1.734375	4.860282897949219	3.4759902954101562
27	0	IMR	1.78125	1.78125	3.0328216552734375	3.0328216552734375
28	0	IMR	1.78125	1.78125	3.7413101196289062	3.7413101196289062
29	0	IMR	1.8515625	1.8515625	3.2866134643554688	3.2866134643554688
30	0	IMR	1.7578125	1.7578125	3.4149627685546875	3.4149627685546875
31	0	IMR	1.7578125	1.7578125	4.2840423583984375	4.2612152099609375
32	0	IMR	1.8515625	1.8515625	4.936397552490234	4.936397552490234
33	0	IMR	1.8515625	1.8515625	4.330982208251953	4.329273223876953
34	0	IMR	1.7109375	1.7109375	3.5605545043945312	3.5605545043945312
35	0	IMR	1.8046875	1.8046875	3.306304931640625	3.306304931640625
36	0	IMR	1.828125	1.828125	5.185020446777344	5.185020446777344
37	0	IMR	1.828125	1.828125	4.110786437988281	4.110786437988281
38	0	IMR	1.7578125	1.7578125	3.0877227783203125	3.0877227783203125
39	0	IMR	1.8515625	1.8515625	2.960113525390625	2.960113525390625
40	0	IMR	1.7578125	1.7578125	2.6955490112304688	2.6955490112304688
41	0	IMR	1.8046875	1.8046875	3.1564788818359375	3.1564788818359375
42	0	IMR	1.78125	1.78125	4.434644737243652	4.286725120544435
43	0	IMR	1.7578125	1.7578125	2.8255615234375	2.8255615234375
44	0	IMR	1.78125	1.78125	2.74072265625	2.74072265625
45	0	IMR	1.8046875	1.8046875	3.0953445434570312	3.0952682495117188
46	0	IMR	1.7578125	1.7578125	3.2471923828125	3.2471923828125
47	0	IMR	1.78125	1.78125	2.9548416137695312	2.9548416137695312
48	0	IMR	1.7578125	1.7578125	2.865142822265625	2.865142822265625
49	0	IMR	1.7109375	1.7109375	4.447807312011719	4.447807312011719
50	0	IMR	1.78125	1.78125	3.1809005737304688	3.1809005737304688
51	0	IMR	1.8515625	1.8515625	4.2135467529296875	4.2135467529296875
52	0	IMR	1.828125	1.828125	4.3704833984375	4.3704833984375
53	0	IMR	1.734375	1.734375	3.9273223876953125	3.9273223876953125
54	0	IMR	1.78125	1.78125	3.8390731811523438	3.8390731811523438
55	0	IMR	1.7578125	1.7578125	4.224850463867186	4.2146453857421875
56	0	IMR	1.7109375	1.7109375	3.6774139404296875	3.6774139404296875
57	0	IMR	1.8046875	1.8046875	4.900062561035156	4.900062561035156
58	0	IMR	1.78125	1.78125	5.60773654937744	2.0104191589355467
59	0	IMR	1.78125	1.78125	5.058135986328125	4.972637176513672
60	0	IMR	1.78125	1.78125	2.8241653442382812	2.8241653442382812
61	0	IMR	1.828125	1.828125	4.352874755859375	4.352874755859375
62	0	IMR	1.78125	1.78125	4.401933059692383	3.56174819946289
63	0	IMR	1.734375	1.734375	4.549388122558594	4.514982604980469
64	0	IMR	1.8046875	1.8046875	2.9337387084960938	2.9337387084960938
65	0	IMR	1.8046875	1.8046875	3.9276639175415045	3.9276236343383797
66	0	IMR	1.7109375	1.7109375	4.283061180114745	4.283047409057617
67	0	IMR	1.8046875	1.8046875	4.2542266845703125	4.2542266845703125
68	0	IMR	1.7578125	1.7578125	3.0358047485351562	3.0358047485351562
69	0	IMR	1.78125	1.78125	4.358719215393066	4.358542594909667
70	0	IMR	1.8515625	1.8515625	5.1021937561035156	5.102093048095704
71	0	IMR	1.734375	1.734375	4.478978195190428	4.3244814300537096
72	0	IMR	1.7578125	1.7578125	3.008026123046875	3.008026123046875
73	0	IMR	1.8046875	1.8046875	5.362675361633301	2.9905629730224614
74	0	IMR	1.7109375	1.7109375	2.9486083984375	2.9486083984375
75	0	IMR	1.8046875	1.8046875	2.9440078735351562	2.9440078735351562
76	0	IMR	1.7578125	1.7578125	3.24114990234375	3.24114990234375
77	0	IMR	1.7578125	1.7578125	3.8401641845703125	3.8401641845703125
78	0	IMR	1.828125	1.828125	3.3255615234375	3.3255615234375
79	0	IMR	1.78125	1.78125	4.426423606872558	4.3635029983520495
80	0	IMR	1.8046875	1.8046875	3.777607002258301	3.774283638000488
81	0	IMR	1.734375	1.734375	4.344758377075197	3.4714958953857433
82	0	IMR	1.7109375	1.7109375	4.924934387207031	4.915866851806641
83	0	IMR	1.7578125	1.7578125	2.8513031005859375	2.8513031005859375
84	0	IMR	1.7109375	1.7109375	4.759427146911621	4.739110527038572
85	0	IMR	1.828125	1.828125	4.224945068359375	4.224945068359375
86	0	IMR	1.8046875	1.8046875	3.0445404052734375	3.0445404052734375
87	0	IMR	1.7578125	1.7578125	3.1144256591796875	3.1144256591796875
88	0	IMR	1.8046875	1.8046875	4.484154129028321	4.484154129028321
89	0	IMR	1.8046875	1.8046875	4.041976585388184	4.035371017456055
90	0	IMR	1.7109375	1.7109375	2.79766845703125	2.79766845703125
91	0	IMR	1.828125	1.828125	4.104499626159668	4.101078796386719
92	0	IMR	1.828125	1.828125	3.1007614135742188	3.1007614135742188
93	0	IMR	1.8046875	1.8046875	4.501068115234375	4.491546630859375
94	0	IMR	1.6875	1.6875	4.0071868896484375	4.0071868896484375
95	0	IMR	1.734375	1.734375	3.1943588256835938	3.1943588256835938
96	0	IMR	1.78125	1.78125	4.108356475830078	4.108173370361328
97	0	IMR	1.8515625	1.8515625	3.9878921508789062	3.9878921508789062
98	0	IMR	1.78125	1.78125	4.826657447814941	3.977621994018556
99	0	IMR	1.8046875	1.8046875	5.238949470520021	4.608941001892089
100	0	IMR	1.78125	1.78125	3.8344324874877933	3.833620491027831
101	0	IMR	1.828125	1.828125	3.6816253662109375	3.6816253662109375
102	0	IMR	1.78125	1.78125	2.9730072021484375	2.9730072021484375
103	0	IMR	1.78125	1.78125	3.1265106201171875	3.1265106201171875
104	0	IMR	1.6875	1.6875	3.4260177612304688	3.4260177612304688
105	0	IMR	1.8046875	1.8046875	2.9986495971679688	2.9986495971679688
106	0	IMR	1.828125	1.828125	4.9854736328125	4.9854736328125
107	0	IMR	1.8046875	1.8046875	3.9771881103515625	3.9771881103515625
108	0	IMR	1.828125	1.828125	4.0835113525390625	3.9945907592773438
109	0	IMR	1.7578125	1.7578125	4.097126007080078	4.060749053955078
110	0	IMR	1.7578125	1.7578125	3.6405898666381833	3.6385954284667963
111	0	IMR	1.78125	1.78125	3.7061767578125	3.7061767578125
112	0	IMR	1.828125	1.828125	3.0136184692382812	3.0136184692382812
113	0	IMR	1.8046875	1.8046875	4.141481399536133	4.141481399536133
114	0	IMR	1.8046875	1.8046875	5.29784839630127	5.237940368652344
115	0	IMR	1.7578125	1.7578125	4.1773681640625	4.177093505859375
116	0	IMR	1.734375	1.734375	3.389425277709961	3.387737274169922
117	0	IMR	1.828125	1.828125	3.2062835693359375	3.2062835693359375
118	0	IMR	1.6875	1.6875	2.6721420288085938	2.6721420288085938
119	0	IMR	1.8046875	1.8046875	3.3612823486328125	3.3612823486328125
120	0	IMR	1.8046875	1.8046875	4.503911628723145	4.256623725891114
121	0	IMR	1.78125	1.78125	4.391512298583985	4.372856140136719
122	0	IMR	1.828125	1.828125	4.384468078613281	4.384468078613281
123	0	IMR	1.8515625	1.8515625	4.330436706542969	4.330436706542969
124	0	IMR	1.828125	1.828125	3.7427444458007812	3.7427444458007812
125	0	IMR	1.8046875	1.8046875	2.9408111572265625	2.9408111572265625
126	0	IMR	1.7578125	1.7578125	5.053298149108887	4.792627716064454
127	0	IMR	1.7578125	1.7578125	5.572614288330079	4.545017242431641
128	0	IMR	1.6875	1.6875	2.9193878173828125	2.9193878173828125
129	0	IMR	1.78125	1.78125	2.9113845825195312	2.9113845825195312
130	0	IMR	1.734375	1.734375	3.9315261840820312	3.9315261840820312
131	0	IMR	1.8515625	1.8515625	3.0622329711914062	3.0622329711914062
132	0	IMR	1.828125	1.828125	2.9262771606445312	2.9262771606445312
133	0	IMR	1.7578125	1.7578125	3.0140609741210938	3.0140609741210938
134	0	IMR	1.8046875	1.8046875	3.754974365234375	3.754974365234375
135	0	IMR	1.734375	1.734375	3.0903091430664062	3.0903091430664062
136	0	IMR	1.734375	1.734375	3.1740188598632812	3.1740188598632812
137	0	IMR	1.8046875	1.8046875	3.2794036865234375	3.2794036865234375
138	0	IMR	1.78125	1.78125	3.1600494384765625	3.1600494384765625
139	0	IMR	1.7578125	1.7578125	4.129325866699219	4.129325866699219
140	0	IMR	1.7578125	1.7578125	4.4211883544921875	4.4211883544921875
141	0	IMR	1.78125	1.78125	3.6337738037109375	3.6337738037109375
142	0	IMR	1.828125	1.828125	4.125457763671875	4.118370056152344
143	0	IMR	1.78125	1.78125	3.4553604125976562	3.4553604125976562
144	0	IMR	1.78125	1.78125	3.6600112915039062	3.6600112915039062
145	0	IMR	1.8046875	1.8046875	4.801658630371094	4.801658630371094
146	0	IMR	1.8046875	1.8046875	2.943389892578125	2.943389892578125
147	0	IMR	1.828125	1.828125	3.9506378173828125	3.9506378173828125
148	0	IMR	1.78125	1.78125	4.216300964355469	4.216300964355469
149	0	IMR	1.78125	1.78125	2.8945159912109375	2.8945159912109375
150	0	IMR	1.78125	1.78125	2.8406219482421875	2.8406219482421875
151	0	IMR	1.78125	1.78125	5.023506164550781	5.023506164550781
152	0	IMR	1.8515625	1.8515625	4.197364807128906	4.197364807128906
153	0	IMR	1.7578125	1.7578125	3.888378143310547	3.888378143310547
154	0	IMR	1.7578125	1.7578125	4.097137451171875	4.097137451171875
155	0	IMR	1.734375	1.734375	3.0763473510742188	3.0763473510742188
156	0	IMR	1.7578125	1.7578125	4.416351318359375	4.416351318359375
157	0	IMR	1.8046875	1.8046875	3.5986404418945312	3.5986404418945312
158	0	IMR	1.7578125	1.7578125	3.4017410278320312	3.4017410278320312
159	0	IMR	1.8515625	1.8515625	3.3990707397460938	3.3990707397460938
160	0	IMR	1.7578125	1.7578125	5.112974815368652	3.3838940811157228
161	0	IMR	1.7578125	1.7578125	3.423616790771486	3.3883934020996103
162	0	IMR	1.8046875	1.8046875	3.0428390502929688	3.0428390502929688
163	0	IMR	1.7578125	1.7578125	3.522735595703125	3.522735595703125
164	0	IMR	1.7578125	1.7578125	4.1169586181640625	4.1169586181640625
165	0	IMR	1.78125	1.78125	5.316520690917969	5.316520690917969
166	0	IMR	1.8046875	1.8046875	3.9720390319824217	3.7089576721191406
167	0	IMR	1.734375	1.734375	4.372100830078125	4.372100830078125
168	0	IMR	1.8046875	1.8046875	5.352500114440918	5.324178276062013
169	0	IMR	1.8046875	1.8046875	3.2237319946289062	3.2237319946289062
170	0	IMR	1.734375	1.734375	3.4327316284179688	3.4327316284179688
171	0	IMR	1.8046875	1.8046875	3.706165313720703	3.703327178955078
172	0	IMR	1.7578125	1.7578125	4.014595031738281	4.014595031738281
173	0	IMR	1.78125	1.78125	4.251869201660156	4.251869201660156
174	0	IMR	1.828125	1.828125	5.215247955322266	5.174886054992674
175	0	IMR	1.8046875	1.8046875	4.553418159484863	3.95017147064209
176	0	IMR	1.7578125	1.7578125	3.829254150390625	3.829254150390625
177	0	IMR	1.6875	1.6875	3.414794921875	3.34112548828125
178	0	IMR	1.8515625	1.8515625	4.346247940063476	4.288960571289063
179	0	IMR	1.78125	1.78125	3.7089996337890625	3.7089996337890625
180	0	IMR	1.8046875	1.8046875	4.500955238342286	4.216082000732422
181	0	IMR	1.734375	1.734375	4.628288269042969	4.628288269042969
182	0	IMR	1.734375	1.734375	3.3204307556152344	3.3204307556152344
183	0	IMR	1.828125	1.828125	3.1229782104492188	3.1229782104492188
184	0	IMR	1.7578125	1.7578125	4.576375846862793	4.570232162475586
185	0	IMR	1.734375	1.734375	4.4283905029296875	4.4055633544921875
186	0	IMR	1.828125	1.828125	4.95739974975586	4.915935516357422
187	0	IMR	1.7578125	1.7578125	4.831321716308594	4.831321716308594
188	0	IMR	1.7578125	1.7578125	3.2542343139648438	3.2542343139648438
189	0	IMR	1.828125	1.828125	4.317710876464844	4.317710876464844
190	0	IMR	1.78125	1.78125	3.0476837158203125	3.0476837158203125
191	0	IMR	1.78125	1.78125	3.9559288024902344	3.9534006118774414
192	0	IMR	1.8515625	1.8515625	4.356208801269531	4.355621337890625
193	0	IMR	1.7578125	1.7578125	2.1710128784179688	2.1710128784179688
194	0	IMR	1.78125	1.78125	3.0062103271484375	3.0062103271484375
195	0	IMR	1.8515625	1.8515625	4.187080383300781	4.187080383300781
196	0	IMR	1.8046875	1.8046875	4.2074127197265625	4.207298278808594
197	0	IMR	1.78125	1.78125	3.3816299438476562	3.3816299438476562
198	0	IMR	1.78125	1.78125	3.6064300537109375	3.6064300537109375
199	0	IMR	1.78125	1.78125	2.8061981201171875	2.8061981201171875
200	0	IMR	1.78125	1.78125	3.6531862640380854	3.6531862640380854
201	0	IMR	1.828125	1.828125	4.413230895996094	4.413230895996094
202	0	IMR	1.6875	1.6875	4.140007019042969	4.140007019042969
203	0	IMR	1.8046875	1.8046875	3.3517990112304688	3.3517990112304688
204	0	IMR	1.8046875	1.8046875	3.9571380615234375	3.9571380615234375
205	0	IMR	1.8046875	1.8046875	4.046276702880861	2.1756534194946284
206	0	IMR	1.8515625	1.8515625	4.641895294189453	4.641788482666016
207	0	IMR	1.78125	1.78125	3.5385398864746094	3.4416770935058594
208	0	IMR	1.7109375	1.7109375	3.763153076171875	3.7631187438964844
209	0	IMR	1.8046875	1.8046875	2.8911895751953125	2.8911895751953125
210	0	IMR	1.734375	1.734375	4.034538269042969	4.034538269042969
211	0	IMR	1.78125	1.78125	2.9672470092773438	2.9672470092773438
212	0	IMR	1.78125	1.78125	4.847457962036132	4.604549369812012
213	0	IMR	1.828125	1.828125	3.7415390014648438	3.7415390014648438
214	0	IMR	1.78125	1.78125	4.319129943847656	4.319129943847656
215	0	IMR	1.7578125	1.7578125	3.5850982666015625	3.5850982666015625
216	0	IMR	1.828125	1.828125	5.238372993469238	4.275565490722657
217	0	IMR	1.7578125	1.7578125	3.3045501708984375	3.3045501708984375
218	0	IMR	1.8046875	1.8046875	3.890871200561524	3.7564426422119133
219	0	IMR	1.7109375	1.7109375	4.8249033737182625	3.0914957427978513
220	0	IMR	1.7578125	1.7578125	3.6986312866210938	3.6379013061523438
221	0	IMR	1.8046875	1.8046875	3.4187545776367188	3.4187545776367188
222	0	IMR	1.8046875	1.8046875	3.9105072021484375	3.9105072021484375
223	0	IMR	1.7578125	1.7578125	3.7865371704101562	3.7865371704101562
224	0	IMR	1.7109375	1.7109375	3.3999760437011717	3.3996344375610357
225	0	IMR	1.734375	1.734375	3.719390869140625	3.719390869140625
226	0	IMR	1.8046875	1.8046875	4.0278472900390625	4.0278472900390625
227	0	IMR	1.8046875	1.8046875	2.9281234741210938	2.9281234741210938
228	0	IMR	1.8046875	1.8046875	3.0693817138671875	3.0693817138671875
229	0	IMR	1.734375	1.734375	2.88604736328125	2.88604736328125
230	0	IMR	1.8046875	1.8046875	4.1840667724609375	4.1840667724609375
231	0	IMR	1.828125	1.828125	3.5254592895507812	3.5254592895507812
232	0	IMR	1.734375	1.734375	5.079555511474609	5.070194244384766
