1	k	BF	sign	bias	self_loop	self_loop_index	Real_k	ineff_inps	Real_sign	real_bias	EF_BF
0	2	0000	ii	0	Y	0	0	[0, 1]	constant	0	0
1	2	0000	ii	0	Y	1	0	[0, 1]	constant	0	0
2	2	0101	ia	2	Y	0	1	[0]	a	1	01
3	2	0101	ia	2	Y	1	1	[0]	a	1	01
4	2	0011	ai	2	Y	0	1	[1]	a	1	01
5	2	0011	ai	2	Y	1	1	[1]	a	1	01
6	2	0111	aa	3	Y	0	2	[]	aa	3	0111
7	2	0111	aa	3	Y	1	2	[]	aa	3	0111
8	2	01000000	ii	1	N	NA	2	[]	iia	1	01000000
9	2	01110001	ia	4	N	NA	2	[]	iaa	4	01110001
10	2	01001101	ai	4	N	NA	2	[]	aia	4	01001101
11	2	01111111	aa	7	N	NA	2	[]	aaa	7	01111111
