	k	BF	sign	bias	self_loop	self_loop_index	Real_k	ineff_inps	Real_sign	real_bias	EF_BF
0	4	0000000000000000	iiii	0	Y	0	0	[0, 1, 2, 3]	constant	0	0
1	4	0000000000000000	iiii	0	Y	1	0	[0, 1, 2, 3]	constant	0	0
2	4	0000000000000000	iiii	0	Y	2	0	[0, 1, 2, 3]	constant	0	0
3	4	0000000000000000	iiii	0	Y	3	0	[0, 1, 2, 3]	constant	0	0
4	4	0100000001000000	iiia	2	Y	0	3	[0]	iia	1	01000000
5	4	0100010000000000	iiia	2	Y	1	3	[1]	iia	1	01000000
6	4	0101000000000000	iiia	2	Y	2	3	[2]	iia	1	01000000
7	4	0101010001000000	iiia	4	Y	3	4	[]	iiia	4	0101010001000000
8	4	0010000000100000	iiai	2	Y	0	3	[0]	iai	1	00100000
9	4	0010001000000000	iiai	2	Y	1	3	[1]	iai	1	00100000
10	4	0011001000100000	iiai	4	Y	2	4	[]	iiai	4	0011001000100000
11	4	0011000000000000	iiai	2	Y	3	3	[3]	iia	1	01000000
12	4	0111000101110001	iiaa	8	Y	0	3	[0]	iaa	4	01110001
13	4	0111011100010001	iiaa	8	Y	1	3	[1]	iaa	4	01110001
14	4	0111001100110001	iiaa	8	Y	2	4	[]	iiaa	8	0111001100110001
15	4	0111010101010001	iiaa	8	Y	3	4	[]	iiaa	8	0111010101010001
16	4	0000100000001000	iaii	2	Y	0	3	[0]	aii	1	00001000
17	4	0000111000001000	iaii	4	Y	1	4	[]	iaii	4	0000111000001000
18	4	0000101000000000	iaii	2	Y	2	3	[2]	iai	1	00100000
19	4	0000110000000000	iaii	2	Y	3	3	[3]	iai	1	00100000
20	4	0100110101001101	iaia	8	Y	0	3	[0]	aia	4	01001101
21	4	0100111100001101	iaia	8	Y	1	4	[]	iaia	8	0100111100001101
22	4	0101111100000101	iaia	8	Y	2	3	[2]	iaa	4	01110001
23	4	0101110101000101	iaia	8	Y	3	4	[]	iaia	8	0101110101000101
24	4	0010101100101011	iaai	8	Y	0	3	[0]	aai	4	00101011
25	4	0010111100001011	iaai	8	Y	1	4	[]	iaai	8	0010111100001011
26	4	0011101100100011	iaai	8	Y	2	4	[]	iaai	8	0011101100100011
27	4	0011111100000011	iaai	8	Y	3	3	[3]	iaa	4	01110001
28	4	0111111101111111	iaaa	14	Y	0	3	[0]	aaa	7	01111111
29	4	0111111100011111	iaaa	12	Y	1	4	[]	iaaa	12	0111111100011111
30	4	0111111100110111	iaaa	12	Y	2	4	[]	iaaa	12	0111111100110111
31	4	0111111101010111	iaaa	12	Y	3	4	[]	iaaa	12	0111111101010111
32	4	0000000011101000	aiii	4	Y	0	4	[]	aiii	4	0000000011101000
33	4	0000000010001000	aiii	2	Y	1	3	[1]	aii	1	00001000
34	4	0000000010100000	aiii	2	Y	2	3	[2]	aii	1	00001000
35	4	0000000011000000	aiii	2	Y	3	3	[3]	aii	1	00001000
36	4	0100000011111101	aiia	8	Y	0	4	[]	aiia	8	0100000011111101
37	4	0100010011011101	aiia	8	Y	1	3	[1]	aia	4	01001101
38	4	0101000011110101	aiia	8	Y	2	3	[2]	aia	4	01001101
39	4	0101010011010101	aiia	8	Y	3	4	[]	aiia	8	0101010011010101
40	4	0010000011111011	aiai	8	Y	0	4	[]	aiai	8	0010000011111011
41	4	0010001010111011	aiai	8	Y	1	3	[1]	aai	4	00101011
42	4	0011001010110011	aiai	8	Y	2	4	[]	aiai	8	0011001010110011
43	4	0011000011110011	aiai	8	Y	3	3	[3]	aia	4	01001101
44	4	0111000111111111	aiaa	12	Y	0	4	[]	aiaa	12	0111000111111111
45	4	0111011111111111	aiaa	14	Y	1	3	[1]	aaa	7	01111111
46	4	0111001111110111	aiaa	12	Y	2	4	[]	aiaa	12	0111001111110111
47	4	0111010111110111	aiaa	12	Y	3	4	[]	aiaa	12	0111010111110111
48	4	0000100011101111	aaii	8	Y	0	4	[]	aaii	8	0000100011101111
49	4	0000111010001111	aaii	8	Y	1	4	[]	aaii	8	0000111010001111
50	4	0000101010101111	aaii	8	Y	2	3	[2]	aai	4	00101011
51	4	0000110011001111	aaii	8	Y	3	3	[3]	aai	4	00101011
52	4	0100110111111111	aaia	12	Y	0	4	[]	aaia	12	0100110111111111
53	4	0100111111011111	aaia	12	Y	1	4	[]	aaia	12	0100111111011111
54	4	0101111111111111	aaia	14	Y	2	3	[2]	aaa	7	01111111
55	4	0101110111011111	aaia	12	Y	3	4	[]	aaia	12	0101110111011111
56	4	0010101111111111	aaai	12	Y	0	4	[]	aaai	12	0010101111111111
57	4	0010111110111111	aaai	12	Y	1	4	[]	aaai	12	0010111110111111
58	4	0011101110111111	aaai	12	Y	2	4	[]	aaai	12	0011101110111111
59	4	0011111111111111	aaai	14	Y	3	3	[3]	aaa	7	01111111
60	4	0111111111111111	aaaa	15	Y	0	4	[]	aaaa	15	0111111111111111
61	4	0111111111111111	aaaa	15	Y	1	4	[]	aaaa	15	0111111111111111
62	4	0111111111111111	aaaa	15	Y	2	4	[]	aaaa	15	0111111111111111
63	4	0111111111111111	aaaa	15	Y	3	4	[]	aaaa	15	0111111111111111
64	4	01000000000000000000000000000000	iiii	1	N	NA	4	[]	iiiia	1	01000000000000000000000000000000
65	4	01110001000100000001000000000000	iiia	6	N	NA	4	[]	iiiaa	6	01110001000100000001000000000000
66	4	01001101000001000000010000000000	iiai	6	N	NA	4	[]	iiaia	6	01001101000001000000010000000000
67	4	01111111000101110001011100000001	iiaa	16	N	NA	4	[]	iiaaa	16	01111111000101110001011100000001
68	4	01000000110101000000000001000000	iaii	6	N	NA	4	[]	iaiia	6	01000000110101000000000001000000
69	4	01110001111101110001000001110001	iaia	16	N	NA	4	[]	iaiaa	16	01110001111101110001000001110001
70	4	01001101110111110000010001001101	iaai	16	N	NA	4	[]	iaaia	16	01001101110111110000010001001101
71	4	01111111111111110001011101111111	iaaa	26	N	NA	4	[]	iaaaa	26	01111111111111110001011101111111
72	4	01000000000000001101010001000000	aiii	6	N	NA	4	[]	aiiia	6	01000000000000001101010001000000
73	4	01110001000100001111011101110001	aiia	16	N	NA	4	[]	aiiaa	16	01110001000100001111011101110001
74	4	01001101000001001101111101001101	aiai	16	N	NA	4	[]	aiaia	16	01001101000001001101111101001101
75	4	01111111000101111111111101111111	aiaa	26	N	NA	4	[]	aiaaa	26	01111111000101111111111101111111
76	4	01000000110101001101010011111101	aaii	16	N	NA	4	[]	aaiia	16	01000000110101001101010011111101
77	4	01110001111101111111011111111111	aaia	26	N	NA	4	[]	aaiaa	26	01110001111101111111011111111111
78	4	01001101110111111101111111111111	aaai	26	N	NA	4	[]	aaaia	26	01001101110111111101111111111111
79	4	01111111111111111111111111111111	aaaa	31	N	NA	4	[]	aaaaa	31	01111111111111111111111111111111
