	k	BF	sign	bias	self_loop	self_loop_index	Real_k	Real_sign	real_bias	EF_BF
0	7	11111111111111101111111011101000111111101110100011101000100000001111111011101000111010001000000011101000100000001000000000000000	iiiiiii	64	N	NA	7	iiiiiii	64	11111111111111101111111011101000111111101110100011101000100000001111111011101000111010001000000011101000100000001000000000000000
1	7	11111111111111011111110111010100111111011101010011010100010000001111110111010100110101000100000011010100010000000100000000000000	iiiiiia	64	N	NA	7	iiiiiia	64	11111111111111011111110111010100111111011101010011010100010000001111110111010100110101000100000011010100010000000100000000000000
2	7	11111111111110111111101110110010111110111011001010110010001000001111101110110010101100100010000010110010001000000010000000000000	iiiiiai	64	N	NA	7	iiiiiai	64	11111111111110111111101110110010111110111011001010110010001000001111101110110010101100100010000010110010001000000010000000000000
3	7	11111111111101111111011101110001111101110111000101110001000100001111011101110001011100010001000001110001000100000001000000000000	iiiiiaa	64	N	NA	7	iiiiiaa	64	11111111111101111111011101110001111101110111000101110001000100001111011101110001011100010001000001110001000100000001000000000000
4	7	11111111111011111110111110001110111011111000111010001110000010001110111110001110100011100000100010001110000010000000100000000000	iiiiaii	64	N	NA	7	iiiiaii	64	11111111111011111110111110001110111011111000111010001110000010001110111110001110100011100000100010001110000010000000100000000000
5	7	11111111110111111101111101001101110111110100110101001101000001001101111101001101010011010000010001001101000001000000010000000000	iiiiaia	64	N	NA	7	iiiiaia	64	11111111110111111101111101001101110111110100110101001101000001001101111101001101010011010000010001001101000001000000010000000000
6	7	11111111101111111011111100101011101111110010101100101011000000101011111100101011001010110000001000101011000000100000001000000000	iiiiaai	64	N	NA	7	iiiiaai	64	11111111101111111011111100101011101111110010101100101011000000101011111100101011001010110000001000101011000000100000001000000000
7	7	11111111011111110111111100010111011111110001011100010111000000010111111100010111000101110000000100010111000000010000000100000000	iiiiaaa	64	N	NA	7	iiiiaaa	64	11111111011111110111111100010111011111110001011100010111000000010111111100010111000101110000000100010111000000010000000100000000
8	7	11111110111111111110100011111110111010001111111010000000111010001110100011111110100000001110100010000000111010000000000010000000	iiiaiii	64	N	NA	7	iiiaiii	64	11111110111111111110100011111110111010001111111010000000111010001110100011111110100000001110100010000000111010000000000010000000
9	7	11111101111111111101010011111101110101001111110101000000110101001101010011111101010000001101010001000000110101000000000001000000	iiiaiia	64	N	NA	7	iiiaiia	64	11111101111111111101010011111101110101001111110101000000110101001101010011111101010000001101010001000000110101000000000001000000
10	7	11111011111111111011001011111011101100101111101100100000101100101011001011111011001000001011001000100000101100100000000000100000	iiiaiai	64	N	NA	7	iiiaiai	64	11111011111111111011001011111011101100101111101100100000101100101011001011111011001000001011001000100000101100100000000000100000
11	7	11110111111111110111000111110111011100011111011100010000011100010111000111110111000100000111000100010000011100010000000000010000	iiiaiaa	64	N	NA	7	iiiaiaa	64	11110111111111110111000111110111011100011111011100010000011100010111000111110111000100000111000100010000011100010000000000010000
12	7	11101111111111111000111011101111100011101110111100001000100011101000111011101111000010001000111000001000100011100000000000001000	iiiaaii	64	N	NA	7	iiiaaii	64	11101111111111111000111011101111100011101110111100001000100011101000111011101111000010001000111000001000100011100000000000001000
